አፍሪቃ	Afrique
ጃፓን	Japon
ደቡብ አሜሪካ	Amérique du Sud
ኖርዌይ	Norvège
ኢንግላንድ	Angleterre
ስኮትላንድ	Écosse
ዌልስ	Pays de Galles
ስሜን አየርላንድ	Irlande du Nord
አየርላንድ ሪፐብሊክ	Irlande (pays)
ሀንጋሪ	Hongrie
እስፓንያ	Espagne
አሜሪካ	États-Unis
ቤልጅግ	Belgique
ሉክሰምበርግ	Luxembourg (pays)
መሬት	Terre
ህይወት	Vie
የሰው ልጅ	Homo sapiens
ጆርጅ ዋሽንግተን	George Washington
ፊንላንድ	Finlande
ስዊድን	Suède
ዴንማርክ	Danemark
ፖላንድ	Pologne
ሊትዌኒያ	Lituanie
ጣልያን	Italie
ስዊዘርላንድ	Suisse
ኦስትሪያ	Autriche
ግሪክ (አገር)	Grèce
ቱርክ	Turquie
ፖርቱጋል	Portugal
አውሮፓ	Europe
እስያ	Asie
ስሜን አሜሪካ	Amérique du Nord
አንታርክቲካ	Antarctique
ውክፔዲያ	Wikipédia
ሆላንድ	Pays-Bas
ኒው ዮርክ ከተማ	New York
ዋሺንግተን ዲሲ	Washington (district de Columbia)
ሳን ፍራንሲስኰ	San Francisco
በርሊን	Berlin
ሎስ አንጄሌስ	Los Angeles
ኮምፒዩተር	Ordinateur
ቤርን	Berne
ዠኔቭ	Genève
ዙሪክ	Zurich
ድረ ገጽ መረብ	Internet
ባራክ ኦባማ	Barack Obama
ኡራጓይ	Uruguay
ባዝል	Bâle
ለንደን	Londres
ካይሮ	Le Caire
እስክንድርያ	Alexandrie
ፖም	Pomme
ፓሪስ	Paris
አብርሀም ሊንከን	Abraham Lincoln
ጉግል	Google
ሜክሲኮ	Mexique
አትላንቲክ ውቅያኖስ	Océan Atlantique
ሰላማዊ ውቅያኖስ	Océan Pacifique
ካሊፎርኒያ	Californie
ቦስቶን	Boston
ሰኞ	Lundi
ጃንዩዌሪ	Janvier
ፌብሩዋሪ	Février
ማርች	Mars (mois)
ማርስ	Mars (planète)
ኬንያ	Kenya
ኢትዮጵያ	Éthiopie
ጋና	Ghana
ኤፕሪል	Avril
መይ	Mai
ጁን	Juin
ጁላይ	Juillet
ኦገስት	Août
ሰፕቴምበር	Septembre
ኦክቶበር	Octobre
ኖቬምበር	Novembre
ዲሴምበር	Décembre
ማክሰኞ	Mardi
ረቡዕ	Mercredi
ሐሙስ	Jeudi
ዓርብ	Vendredi
ቅዳሜ	Samedi
እሑድ	Dimanche
አንበሳ	Lion
ፈረንሣይ	France
ኤስፔራንቶ	Espéranto
ውሻ	Chien
ዩናይትድ ኪንግደም	Royaume-Uni
ድመት	Chat
የቻይና ሕዝባዊ ሪፐብሊክ	Chine
ፈረንሳይኛ	Français
ዓሣ	Poisson
ብራዚል	Brésil
ሩሲያ	Russie
ባህር	Mer
ጥቁር ባሕር	Mer Noire
ፓይ	Pi
ቶሮንቶ	Toronto
አላባማ	Alabama
ሳው ፓውሉ	São Paulo
ኬበክ	Québec
ጂሚ ዌልስ	Jimmy Wales
ጀርመን	Allemagne
ቤላሩስ	Biélorussie
ጀርመንኛ	Allemand
አይስላንድ	Islande
እግዚአብሔር	Dieu
ኤስቶኒያ	Estonie
ማህፈድ	Saturne (planète)
አውሮፕላን	Avion
0	Zéro
አዕላፍ	Infini
ጆርጅ ደብሊዩ ቡሽ	George W. Bush
ላትቪያ	Lettonie
ዩክሬን	Ukraine
ቼክ ሪፐብሊክ	République tchèque
ስሎቫኪያ	Slovaquie
ስሎቬኒያ	Slovénie
ቪልኒውስ	Vilnius
ሞልዶቫ	Moldavie
ሮማንያ	Roumanie
ቡልጋሪያ	Bulgarie
ሮማ	Rome
የመቄዶንያ ሬፑብሊክ	Macédoine (pays)
አልባኒያ	Albanie
ግሪንላንድ	Groenland
ክሮኤሽያ	Croatie
ቦስኒያና ሄርጸጎቪና	Bosnie-Herzégovine
አዘርባይጃን	Azerbaïdjan
አንዶራ	Andorre
ቆጵሮስ	Chypre (pays)
ጂዮርጂያ	Géorgie (pays)
ካዛክስታን	Kazakhstan
ማልታ	Malte
ሞናኮ	Monaco
ሞንቴኔግሮ	Monténégro
ቫቲካን ከተማ	Vatican
ሳን ማሪኖ (አገር)	Saint-Marin
ብሩክሴል	Région de Bruxelles-Capitale
ኩባ	Cuba
ቤሊዝ	Belize
ባርቤዶስ	Barbade
ጃቫ	Java (langage)
ኢንዶኔዥያ	Indonésie
ቮልፍጋንግ አማዴኡስ ሞፃርት	Wolfgang Amadeus Mozart
ሉድቪግ ቫን ቤትሆቨን	Ludwig van Beethoven
ቱርክኛ	Turc
ደቡብ አፍሪካ	Afrique du Sud
አልጄሪያ	Algérie
ኡዝቤኪስታን	Ouzbékistan
ታሽኬንት	Tachkent
ዋርሶው	Varsovie
ውሃ	Eau
እንጨት	Bois
ቴሌቪዥን	Télévision
ቺሌ	Chili
ኢየሱስ	Jésus-Christ
ኤልቭስ ፕሬስሊ	Elvis Presley
ጋሊልዮ	Galilée (savant)
ኣጣርድ	Mercure (planète)
ታሪክ	Histoire
አፕል ኮርፖሬሽን	Apple
ዘሃራ	Vénus (planète)
ቋንቋ	Langage
ፍቅር	Amour
ጁፒተር	Jupiter (planète)
ሚሼል ባቼሌት	Michelle Bachelet
ሚልኪ ዌይ	Voie lactée
ኡራኑስ	Uranus (planète)
ኒኮላ ሳርኮዚ	Nicolas Sarkozy
ነፕቲዩን	Neptune (planète)
ሥነ ፈለክ	Astronomie
ሲንጋፖር	Singapour
ሳይንስ	Science
ፕሉቶ	Pluton (planète naine)
ሞንትሬያል	Montréal
ማርያም	Marie (mère de Jésus)
ሊክተንስታይን	Liechtenstein
ስፖርት	Sport
አዶልፍ ሂትለር	Adolf Hitler
ፌስቡክ	Facebook
የመጀመሪያው የዓለም ጦርነት	Première Guerre mondiale
2ኛው ዓለማዊ ጦርነት	Seconde Guerre mondiale
ኮልን	Cologne
ሰአት (መሳሪያ)	Horloge
ኡቡንቱ	Ubuntu
ስኮፕዬ	Skopje
ሊኑክስ	Linux
ትምህርተ ሂሳብ	Mathématiques
ሮማይስጥ	Latin
ባሕሬን	Bahreïn
አርመኒያ	Arménie
ሰርቢያ	Serbie
ጨረቃ	Lune
ኢስታንቡል	Istanbul
አውስትራልያ	Australie
ቦብ ማርሊ	Bob Marley
የተፈጥሮ ሕግጋት ጥናት	Physique
አርጀንቲና	Argentine
ፔሩ	Pérou
ሥነ ሕይወት	Biologie
ሰሜን ኮርያ	Corée du Nord
ካምቦዲያ	Cambodge
ቁርአን	Coran
እስልምና	Islam
ልዩብልያና	Ljubljana
ለክ ቫለሳ	Lech Wałęsa
ድኒ ዲድሮ	Denis Diderot
ልዮን	Lyon
አውሮፓ ህብረት	Union européenne
ሶፊያ	Sofia
ሚላኖ	Milan
አርተር ራምቦ	Arthur Rimbaud
ቶሪኖ	Turin
ሎሚ	Citron
ስተንዳል	Stendhal
666 እ.ኤ.አ.	666
ኤቨረስት ተራራ	Everest
ከተማ	Ville
ናፖሌዎን ቦናፓርት	Napoléon Ier
ኮኮብ	Étoile
ደብረ ቬሱቪዩስ	Vésuve
ፀሐይ	Soleil
ሰማይ	Ciel
ሉዊ ፓስቴ	Louis Pasteur
የብርሃን ዓመት	Année-lumière
ቪክቶር ኢውጎ	Victor Hugo
ኦሺያኒያ	Océanie
የፀሐይ ሥርዓተ ፈለክ	Système solaire
ባልቲክ ባሕር	Mer Baltique
ቪስቱላ ወንዝ	Vistule
ጥርስ	Dent
ሃይድሮጅን	Hydrogène
ሒሊየም	Hélium
አንጌላ መርክል	Angela Merkel
ሊቲየም	Lithium
ቤሪሊየም	Béryllium
ቀን	Jour
ምሥራቅ ቲሞር	Timor oriental
ሌሊት	Nuit
አመት	Année (calendrier)
ሞን ብላን	Mont Blanc
ራይን ወንዝ	Rhin
ኦስሎ	Oslo
ቦን	Bonn
ካቶቪጸ	Katowice
ሊዝቦን	Lisbonne
ሮን ወንዝ	Rhône
ዱባይ	Dubaï (émirat)
ሊዮኔል ሜሲ	Lionel Messi
ቦሮን	Bore
ኒኮላውስ ኮፐርኒኩስ	Nicolas Copernic
ካርቦን	Carbone
ቮልጋ ወንዝ	Volga
ናይትሮጅን	Azote
ኦክሲጅን	Oxygène
ፕላኔት	Planète
ሙዚቃ	Musique
ቬኒስ	Venise
ፖ ወንዝ	Pô
ሞስኮ	Moscou
ፍሎሪን	Fluor
ጣልያንኛ	Italien
ኒዮን	Néon
ሳንክት ፔቴርቡርግ	Saint-Pétersbourg
ቻድ	Tchad
ሶዲየም	Sodium
ሰሜን	Nord
ማግኒዥየም	Magnésium
አሉምንም	Aluminium
ኒው ዚላንድ	Nouvelle-Zélande
ደቡብ	Sud
ህንድ	Inde
ሲልከን	Silicium
ፍራንሺየም	Francium
ቱቫሉ	Tuvalu
ዋንፒስ	One Piece
ፎስፈረስ	Phosphore
ብረት	Fer
ቶንጋ	Tonga
ምዕራብ	Ouest
ድኝ	Soufre
ሳሞዓ	Samoa
ምሥራቅ	Est
ሰለሞን ደሴቶች	Salomon (pays)
ቫኑአቱ	Vanuatu
ሞሊዬር	Molière
ክሎሪን	Chlore
ፓፑዋ ኒው ጊኒ	Papouasie-Nouvelle-Guinée
ሼክስፒር	William Shakespeare
ፐላው	Palaos
አርገን	Argon
ናውሩ	Nauru
ሞዚላ ፋየርፎክስ	Mozilla Firefox
ማይክሮኔዥያ	Micronésie (pays)
ፖታሺየም	Potassium
ካልሲየም	Calcium
እርሳስ	Plomb
ማርሻል ደሴቶች	Îles Marshall
ኪሪባስ	Kiribati
ሞንጎልያ	Mongolie
ፊጂ	Fidji
ስካንዲየም	Scandium
ቲታኒየም	Titane
ቬኔዝዌላ	Venezuela
ሰንጠረዥ	Échecs
ቺንግስ ካን	Gengis Khan
ቫናዲየም	Vanadium
መይን	Maine (État)
ክሮሚየም	Chrome
ፈረስ	Cheval
አምስተርዳም	Amsterdam
እንስሳ	Animal
ሱሪናም	Suriname
ማንጋኒዝ	Manganèse
ፓራጓይ	Paraguay
ጋያና	Guyana
ኤኳዶር	Équateur (pays)
ሬኒየም	Rhénium
ኮሎምቢያ	Colombie
ኮባልት	Cobalt
ተንግስተን	Tungstène
ኒኬል	Nickel
ቡዲስም	Bouddhisme
ቦሊቪያ	Bolivie
ኦስሚየም	Osmium
መዳብ	Cuivre
ትሪኒዳድና ቶቤጎ	Trinité-et-Tobago
