Mo'hetaneho'e	Afrique
Norway	Norvège
Ireland (Republic)	Irlande (pays)
Spain	Espagne
United States	États-Unis
Poland	Pologne
Lithuania	Lituanie
Italy	Italie
Switzerland	Suisse
Austria	Autriche
Turkey	Turquie
Héesevo'tamahpe	Bière
Hóxovê-hooma	Europe
Asia	Asie
Wikipedia	Wikipédia
Netherlands	Pays-Bas
Vášêtaëno	Washington (district de Columbia)
San Francisco	San Francisco
Los Angeles	Los Angeles
Tséohketoetanóto	Ordinateur
Netse Ôhmo'ôhtávaestse	Barack Obama
Má'xeme	Pomme
Paris	Paris
Mé'šeeséve'ho'évenó	Mexique
California	Californie
Péhpe'énanóse'hame	Lion
France	France
Oeškese	Chien
United Kingdom	Royaume-Uni
China (People's Republic of China)	Chine
Manestôtse	Boisson alcoolisée
Russia	Russie
Ma'evé'ho'éno	Allemagne
Ame'hahtôtse'	Avion
Ukraine	Ukraine
Czechia	République tchèque
Slovakia	Slovaquie
Slovenia	Slovénie
Roma	Rome
Croatia	Croatie
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Mo'hetaneho'e hánêsóvóne	Afrique du Sud
Mahpe	Eau
Chile	Chili
Serbia	Serbie
Taa'é-eše'he	Lune
Tsésáa-nanóhehane ame'hahtôtse	Objet volant non identifié
Vé'ôhkêheóvemá'xeme	Citron
Vóhka'émene	Banane
Hotohke	Étoile
Éše'he	Soleil
Chihuahua	État de Chihuahua
Tonga	Tonga
Nauru	Nauru
Mo'éhno'ha	Cheval
Hova	Animal
Kokêhéaxa	Gallus gallus domesticus
Arizona	Arizona
Amérika	Amérique
Utah	Utah
Republic of China	Taïwan
Ma'aataemeo'o	Train
Vietnam	Viêt Nam
Véhone-ma'kaata	Or
Tanzania	Tanzanie
Zambia	Zambie
Zimbabwe	Zimbabwe
Republic of the Congo	République du Congo
Democratic Republic of the Congo	République démocratique du Congo
Madagascar	Madagascar
Malawi	Malawi
Namibia	Namibie
Julius Caesar	Jules César
South Dakota	Dakota du Sud
Ho'honáéšé'e	Montana
Wyoming	Wyoming
Nevada	Nevada
Colorado	Colorado
Tseohke-pano'ohe	Confiture
Category:Wikipedia content	Catégorie:Accueil
Chicago	Chicago
Mene	Fruit (botanique)
Mákohe	Singe
Meškêso	Insecte
Amâho'hestôtse	Automobile
Toháano'ého'ëva	Texas
Buenos Aires	Buenos Aires
Barcelona	Barcelone
Šéstotó'emeno	Ananas
Ma'xeé'ome'tää'e	Mississippi (fleuve)
Caracas	Caracas
Nebraska	Nebraska
Kansas	Kansas
Heévȧhetanéno	Oklahoma
Ma'heónemôxe'êstoo'o	Bible
Ho Chi Minh City	Hô-Chi-Minh-Ville
Dong Hoi	Đồng Hới
Concepción	Concepción (Chili)
Še'šenovôtse	Serpentes
Madrid	Madrid
Santiago (Chile)	Santiago
Hévoetanâháve'ho'éotoa'e	Vache laitière
Mé'hahtsékósa	Chèvre
Ho'ësta	Feu
Antofagasta	Antofagasta
Brazzaville	Brazzaville
Copiapó	Copiapó
Moxe'estonemaheo'o	École
