Afirik	Afrique
Norwees	Norvège
Irlannda	Irlande (pays)
Hunngariya	Hongrie
Hispaanya	Espagne
Dowlaaji Dentuɗi	États-Unis
Beljik	Belgique
Luksammbuur	Luxembourg (pays)
Suwed	Suède
Poloonya	Pologne
Lituwaniya	Lituanie
Italiya	Italie
Suwis	Suisse
Portokeesi	Portugal
Yuroopu	Europe
Aasiya	Asie
Wikipeediya	Wikipédia
Holannda	Pays-Bas
Kenya	Kenya
Gana	Ghana
Faransi	France
Esperanto	Espéranto
Faransinkoore	Français
Roosiya	Russie
Almaanya	Allemagne
Belaruusiya	Biélorussie
Almankoore	Allemand
Islannda	Islande
Estoniya	Estonie
Go’o	1 (nombre)
Ɗiɗi	2 (nombre)
Tati	3 (nombre)
Nayi	4 (nombre)
Jowi	5 (nombre)
Ukrayiina	Ukraine
Sulowakiya	Slovaquie
Suloweniya	Slovénie
Moldowa	Moldavie
Romaniya	Roumanie
Bulgariya	Bulgarie
Masedoniya	Macédoine (pays)
Albaniya	Albanie
Korowaasiya	Croatie
Bosniya	Bosnie-Herzégovine
Anndoora	Andorre
Montenegro	Monténégro
Watikan	Vatican
Aljeri	Algérie
Ndiyam	Eau
Ciile	Chili
Sinngapuur	Singapour
Armaaniya	Arménie
Serbiya	Serbie
Lewru	Lune
Peru	Pérou
Alqur'aana	Coran
Naange	Soleil
Njuɓɓudi naangeyankoori	Système solaire
East Timor	Timor oriental
Nawru	Nauru
Fiiji	Fidji
Ndimaagu	Sagesse
Aameerik	Amérique
Wiyetnam	Viêt Nam
Maali	Mali
Anngolaa	Angola
Togo	Togo
Benen	Bénin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burunndi	Burundi
Gine Ekwatoriyal	Guinée équatoriale
Eritereya	Érythrée
Gabon	Gabon
Gammbi	Gambie
Gine	Guinée
Gine-Bisaawo	Guinée-Bissau
Kodduwaar	Côte d'Ivoire
Kamerun	Cameroun
Kapu Werde	Cap-Vert
Labiriyaa	Liberia
Muritani	Mauritanie
Mozammbik	Mozambique
Namibiya	Namibie
Niiser	Niger
Niiseriya	Nigeria
Senegaal	Sénégal
Sarliyon	Sierra Leone
Somaaliya	Somalie
Uetersen	Uetersen
Ho Chi Minh City	Hô-Chi-Minh-Ville
Egilis Haqiiqaajo mo Iisaa Almasiihu	Véritable Jésus Église
Đồng Hới	Đồng Hới
Kurów	Kurów
Maayo Niil	Nil
Maayo Jaaliba	Niger (fleuve)
Nouakchott	Nouakchott
Konaakiri	Conakry
Osasco	Osasco (Brésil)
Aéroport de Dong Hoi	Aéroport de Đồng Hới
Curitiba	Curitiba
Catégorie:Hisaabu	Catégorie:Mathématiques
Duungal	Continent
Monzón	Monzón
Almazán	Almazán
Saggitorde huuɓnude	Encyclopédie
Hello jaɓɓorgo	Wikipédia:Accueil principal
Catégorie:Candidates for speedy deletion	Catégorie:Wikipédia:Suppression immédiate demandée
Carl Friedrich Gauss	Carl Friedrich Gauss
Qin Shi Huang	Qin Shi Huang
Ndenndaandi	République
Leydi	État
Riisinkoore	Russe
UNESCO	Organisation des Nations unies pour l'éducation, la science et la culture
Nelson Manndelaa	Nelson Mandela
Dewgal	Mariage
Nelaaɗo Muhammadu	Mahomet
Ronald Reagan	Ronald Reagan
Kudaku	Pomme de terre
Limle	Nombre
Masarji	Maïs
Ngaluuji leydi	Liste des pays du monde
Wikipedia:Accueil	Wikipédia:Le Bistro
Joweenayi	9 (nombre)
Bien Hoa	Biên Hòa
Nha Trang	Nha Trang
Vung Tau	Vũng Tàu
Bahai	Bahaïsme
Joweeɗiɗi	7 (nombre)
Joweetati	8 (nombre)
Joweego	6 (nombre)
Paltoga	Paltoga
Entrena	Entrena
Sappo	10 (nombre)
Aéroport de Cam Ranh	Aéroport de Cam Ranh
Nowy Dwór Królewski	Nowy Dwór Królewski
Ca Mau	Cà Mau
Da Nang	Đà Nẵng
Fulfulde	Peul
Cirgu	Léopard
Ido	Ido
Sappo e ɗiɗi	12 (nombre)
Sappo e go’o	11 (nombre)
Sappo e tati	13 (nombre)
Teemerre	100 (nombre)
Miliyonji	Million
Sappo e nay	14 (nombre)
Sappo e jowi	15 (nombre)
Sappo e joweetati	18 (nombre)
Ciifol Gaaza	Bande de Gaza
Sappo e joweenay	19 (nombre)
Sappo e joweeɗiɗi	17 (nombre)
Sappo e joweego	16 (nombre)
Noogas	20 (nombre)
Cappanɗe nayi	40 (nombre)
Cappanɗe tati	30 (nombre)
Booro	1 000 (nombre)
Montehermoso	Montehermoso
Lacuna Coil	Lacuna Coil
Cappanɗe joweego	60 (nombre)
Coronel Fabriciano	Coronel Fabriciano
Ba Don	Ba Đồn
Ahmed Seeku Tuuree	Ahmed Sékou Touré
Aamadu Tumani Tuure	Amadou Toumani Touré
Alahajji Umaru Taal	Oumar Tall
Banovci (Nijemci)	Banovci (Nijemci)
Tigranes II	Tigrane II d'Arménie
Pullo	Peuls
Lansana Konte	Lansana Conté
Teemeɗɗe jowi	Nombres 500 à 599
Trpinja	Trpinja
Cappanɗe joweenayi	90 (nombre)
Teemeɗɗe joweego	Nombres 600 à 699
Aañam-Goli	Agnam-Goly
Booro sappo	10 000 (nombre)
Alfaa Yaayaa	Alpha Yaya Diallo
Paramore	Paramore
Aéroport de Tan Son Nhat	Aéroport international de Tân Sơn Nhất
Buford	Buford (Wyoming)
Cappanɗe joweetati	80 (nombre)
Noogas e go’o	21 (nombre)
Noogas e ɗiɗi	22 (nombre)
Cappanɗe joweeɗiɗi	70 (nombre)
Cappanɗe jowi	50 (nombre)
Teemeɗɗe ɗiɗi	200 (nombre)
Teemeɗɗe joweeɗiɗi	Nombres 700 à 799
Teemeɗɗe joweenayi	Nombres 900 à 999
Teemeɗɗe joweetati	Nombres 800 à 899
Aéroport de Da Nang	Aéroport international de Đà Nẵng
Pigazzano	Pigazzano
Adradas	Adradas
Arenillas	Arenillas
Medford	Medford (Oregon)
Fuuta Jaloo	Fouta-Djalon
Aéroport de Ca Mau	Aéroport de Cà Mau
Labe	Labé
Skolkovo	Skolkovo (oblast de Moscou)
Fonnye	Digitaria exilis
Teemeɗɗe tati	Nombres 300 à 399
Catégorie:Roosiya	Catégorie:Russie
Catégorie:Hispaanya	Catégorie:Espagne
Catégorie:Vietnam	Catégorie:Viêt Nam
Catégorie:Taariika	Catégorie:Histoire
Catégorie:Mbaalaandi	Catégorie:Géographie
Catégorie:Diina	Catégorie:Religion
Catégorie:Siyansi	Catégorie:Sciences
Almaami	Almamy
Teemeɗɗe nayi	Nombres 400 à 499
Ba Ria	Bà Rịa
Catégorie:Duungal	Catégorie:Continent
Koli Teŋella	Koli Tenguella
Catégorie:Leydi	Catégorie:Pays
Wikipedia:Administrateurs	Wikipédia:Administrateur
Catégorie:Yimɓe	Catégorie:Personnalité
Modèle:Bot	Modèle:Bot
Wikipedia:Copyrights	Wikipédia:Droit d'auteur
Catégorie:Yuroopu	Catégorie:Europe
Modèle:Documentation	Modèle:Documentation
Catégorie:Babel	Catégorie:Wikipédiens par langue
Sung Jae-gi	Sung Jae-ki
Modèle:Softredirect	Modèle:Redirection douce
Modèle:Db	Modèle:Suppression Immédiate
Catégorie:Wikipeediya	Catégorie:Wikipédia
Wikipedia:Statistiques	Wikipédia:Statistiques
Modèle:!	Modèle:!
Modèle:Clear	Modèle:Clr
Catégorie:Afirik	Catégorie:Afrique
Catégorie:Limle	Catégorie:Nombre
Modèle:Babel	Modèle:Boîte Babel
Modèle:Commons	Modèle:Commons
Modèle:Stub	Modèle:Ébauche
Modèle:User af-1	Modèle:Utilisateur af-1
Modèle:User ar-1	Modèle:Utilisateur ar-1
Modèle:User ast-1	Modèle:Utilisateur ast-1
Modèle:User az	Modèle:Utilisateur az
Modèle:User bar-1	Modèle:Utilisateur bar-1
Modèle:User eo-1	Modèle:Utilisateur eo-1
Modèle:User da-2	Modèle:Utilisateur da-2
Modèle:User da	Modèle:Utilisateur da
Modèle:User ca-1	Modèle:Utilisateur ca-1
Modèle:User ca-4	Modèle:Utilisateur ca-4
Modèle:User be-2	Modèle:Utilisateur be-2
Modèle:User da-1	Modèle:Utilisateur da-1
Modèle:User cs-1	Modèle:Utilisateur cs-1
Modèle:User bg-1	Modèle:Utilisateur bg-1
Modèle:User eo-3	Modèle:Utilisateur eo-3
Modèle:User de	Modèle:Utilisateur de
Modèle:User de-1	Modèle:Utilisateur de-1
Modèle:User eu	Modèle:Utilisateur eu
Modèle:User et-1	Modèle:Utilisateur et-1
Modèle:User es	Modèle:Utilisateur es
Modèle:User de-3	Modèle:Utilisateur de-3
Modèle:User en-3	Modèle:Utilisateur en-3
Modèle:User en-1	Modèle:Utilisateur en-1
Modèle:User en-2	Modèle:Utilisateur en-2
Modèle:User eo-2	Modèle:Utilisateur eo-2
Modèle:User en-4	Modèle:Utilisateur en-4
Modèle:User fi	Modèle:Utilisateur fi
Modèle:User en-0	Modèle:Utilisateur en-0
Modèle:User es-4	Modèle:Utilisateur es-4
Modèle:User en	Modèle:Utilisateur en
Modèle:User de-2	Modèle:Utilisateur de-2
Modèle:User es-1	Modèle:Utilisateur es-1
Modèle:User fr-1	Modèle:Utilisateur fr-1
Modèle:User ia-2	Modèle:Utilisateur ia-2
Modèle:User he-1	Modèle:Utilisateur he-1
Modèle:User io-3	Modèle:Utilisateur io-3
Modèle:User it-3	Modèle:Utilisateur it-3
Modèle:User ja-4	Modèle:Utilisateur ja-4
Modèle:User sk	Modèle:Utilisateur sk
Modèle:User tr-2	Modèle:Utilisateur tr-2
Modèle:User fr-2	Modèle:Utilisateur fr-2
Modèle:User tr	Modèle:Utilisateur tr
Modèle:User ja	Modèle:Utilisateur ja
Modèle:User ja-1	Modèle:Utilisateur ja-1
Modèle:User it-1	Modèle:Utilisateur it-1
Modèle:User hr-1	Modèle:Utilisateur hr-1
Modèle:User fr	Modèle:Utilisateur fr
Modèle:User he	Modèle:Utilisateur he
Catégorie:Aasiya	Catégorie:Asie
Catégorie:User uk	Catégorie:Utilisateur uk
Modèle:Mod	Modèle:Mod
Modèle:User sv	Modèle:Utilisateur sv
Modèle:User it	Modèle:Utilisateur it
Modèle:User es-2	Modèle:Utilisateur es-2
Catégorie:User fr-1	Catégorie:Utilisateur fr-1
Modèle:Official website	Modèle:Site officiel
Catégorie:User en-4	Catégorie:Utilisateur en-4
Catégorie:User en	Catégorie:Utilisateur en
Catégorie:User zh	Catégorie:Utilisateur zh
Catégorie:User zh-N	Catégorie:Utilisateur zh-M
Catégorie:User en-2	Catégorie:Utilisateur en-2
Modèle:User eo	Modèle:Utilisateur eo
Modèle:User zh	Modèle:Utilisateur zh
Modèle:User ru-4	Modèle:Utilisateur ru-4
Modèle:User nl-1	Modèle:Utilisateur nl-1
Modèle:User nl-2	Modèle:Utilisateur nl-2
Modèle:User ru	Modèle:Utilisateur ru
Catégorie:Aameerik	Catégorie:Amérique
Modèle:Ɗemngal e innde mun	Modèle:Langue avec nom
Modèle:User eo-4	Modèle:Utilisateur eo-4
Modèle:User pt-1	Modèle:Utilisateur pt-1
Modèle:User pl	Modèle:Utilisateur pl
Modèle:User nl	Modèle:Utilisateur nl
Modèle:User no-2	Modèle:Utilisateur no-2
Wikipedia:Nospam	Wikipédia:Pages protégées à la création
Modèle:Ɗemngal-de	Modèle:Lang-de
Modèle:User fr-3	Modèle:Utilisateur fr-3
Modèle:User lt	Modèle:Utilisateur lt
Modèle:Oppose	Modèle:Contre
Modèle:User ar-2	Modèle:Utilisateur ar-2
Modèle:User ar-3	Modèle:Utilisateur ar-3
Modèle:User ar	Modèle:Utilisateur ar
Modèle:User fr-0	Modèle:Utilisateur fr-0
Catégorie:User ja-N	Catégorie:Utilisateur ja-M
Modèle:User als	Modèle:Utilisateur als
Modèle:URL	Modèle:URL
Modèle:User no	Modèle:Utilisateur no
Modèle:Ɗemngal-fr	Modèle:En français
Modèle:User pt-0	Modèle:Utilisateur pt-0
Modèle:User pt-3	Modèle:Utilisateur pt-3
Modèle:User pt-2	Modèle:Utilisateur pt-2
Modèle:User fr-4	Modèle:Utilisateur fr-4
Modèle:User eo-0	Modèle:Utilisateur eo-0
Catégorie:User az	Catégorie:Utilisateur az
Catégorie:User be	Catégorie:Utilisateur be
Catégorie:User hr	Catégorie:Utilisateur hr
Catégorie:User sk	Catégorie:Utilisateur sk
Catégorie:User eo	Catégorie:Utilisateur eo
Catégorie:User fr	Catégorie:Utilisateur fr
Catégorie:User ja	Catégorie:Utilisateur ja
Catégorie:User lt	Catégorie:Utilisateur lt
Catégorie:User mk	Catégorie:Utilisateur mk
Catégorie:User pt	Catégorie:Utilisateur pt
Catégorie:User sv	Catégorie:Utilisateur sv
Catégorie:User it-3	Catégorie:Utilisateur it-3
Catégorie:User ar-3	Catégorie:Utilisateur ar-3
Catégorie:User cs-1	Catégorie:Utilisateur cs-1
Catégorie:User da-1	Catégorie:Utilisateur da-1
Catégorie:User mk-1	Catégorie:Utilisateur mk-1
Catégorie:User nl-1	Catégorie:Utilisateur nl-1
Catégorie:User ar-4	Catégorie:Utilisateur ar-4
Catégorie:User be-2	Catégorie:Utilisateur be-2
Catégorie:User da-2	Catégorie:Utilisateur da-2
Catégorie:User fr-2	Catégorie:Utilisateur fr-2
Catégorie:User nl-2	Catégorie:Utilisateur nl-2
Catégorie:User tr-2	Catégorie:Utilisateur tr-2
Catégorie:User ar-2	Catégorie:Utilisateur ar-2
Catégorie:User fr-N	Catégorie:Utilisateur fr-M
Catégorie:User lt-N	Catégorie:Utilisateur lt-M
Catégorie:User no-N	Catégorie:Utilisateur no-M
Catégorie:User ru-N	Catégorie:Utilisateur ru-M
Catégorie:User af	Catégorie:Utilisateur af
Catégorie:User af-1	Catégorie:Utilisateur af-1
Catégorie:User als	Catégorie:Utilisateur als
Catégorie:User als-1	Catégorie:Utilisateur als-1
Catégorie:User ar	Catégorie:Utilisateur ar
Catégorie:User ast	Catégorie:Utilisateur ast
Catégorie:User ast-1	Catégorie:Utilisateur ast-1
Catégorie:User az-N	Catégorie:Utilisateur az-M
Catégorie:User bar	Catégorie:Utilisateur bar
Catégorie:User bar-1	Catégorie:Utilisateur bar-1
Catégorie:User bg	Catégorie:Utilisateur bg
Catégorie:User bg-1	Catégorie:Utilisateur bg-1
Catégorie:User ca	Catégorie:Utilisateur ca
Catégorie:User ca-1	Catégorie:Utilisateur ca-1
Catégorie:User ca-4	Catégorie:Utilisateur ca-4
Catégorie:User cs	Catégorie:Utilisateur cs
Catégorie:User da	Catégorie:Utilisateur da
