આફ્રિકા	Afrique
જાપાન	Japon
દક્ષિણ અમેરિકા	Amérique du Sud
નોર્વે	Norvège
વેલ્સ	Pays de Galles
નોર્ધન આયર્લેન્ડ	Irlande du Nord
હંગેરી	Hongrie
સ્પેન	Espagne
સંયુક્ત રાજ્ય અમેરિકા	États-Unis
બેલ્જિયમ	Belgique
લક્ઝેમ્બર્ગ	Luxembourg (pays)
બ્રહ્માંડ	Univers
પૃથ્વી	Terre
મનુષ્ય	Homo sapiens
ફીનલેંડ	Finlande
સ્વિડન	Suède
પોલેંડ	Pologne
લિથુઆનિયા	Lituanie
ઈટલી	Italie
સ્વિત્ઝરલેન્ડ	Suisse
ઑસ્ટ્રિયા	Autriche
ગ્રીસ	Grèce
તુર્કસ્તાન	Turquie
પોર્ટુગલ	Portugal
યુરોપ	Europe
એશિયા	Asie
ઉત્તર અમેરિકા	Amérique du Nord
ઍન્ટાર્કટિકા	Antarctique
વિકિપીડિયા	Wikipédia
નેધરલેંડ	Pays-Bas
PHP (પ્રોગ્રામિંગ ભાષા)	PHP
એર બસ	Airbus
સંગણક	Ordinateur
ઇન્ટરનેટ	Internet
ઉરુગ્વે	Uruguay
કમ્પ્યુટર પ્રિન્ટર	Imprimante
લંડન	Londres
એલેક્ઝાન્ડ્રિયા	Alexandrie
સફરજન	Pomme
પૅરિસ	Paris
ગૂગલ	Google
મેક્સિકો	Mexique
સોમવાર	Lundi
જાન્યુઆરી	Janvier
ફેબ્રુઆરી	Février
માર્ચ	Mars (mois)
મંગળ (ગ્રહ)	Mars (planète)
કેન્યા	Kenya
ઇથિયોપિયા	Éthiopie
ઘાના	Ghana
એપ્રિલ	Avril
મે	Mai
જૂન	Juin
જુલાઇ	Juillet
ઓગસ્ટ	Août
સપ્ટેમ્બર	Septembre
ઓક્ટોબર	Octobre
નવેમ્બર	Novembre
ડિસેમ્બર	Décembre
મંગળવાર	Mardi
બુધવાર	Mercredi
ગુરુવાર	Jeudi
શુક્રવાર	Vendredi
શનિવાર	Samedi
રવિવાર	Dimanche
એશિયાઇ સિંહ	Lion
ફ્રાન્સ	France
યુનાઇટેડ કિંગડમ	Royaume-Uni
ચીન	Chine
માછલી	Poisson
ઇથેનોલ	Éthanol
મદ્યાર્ક યુક્ત પીણું	Boisson alcoolisée
બ્રાઝિલ	Brésil
રશિયા	Russie
કાળો સમુદ્ર	Mer Noire
અલાબામા	Alabama
ક્વિબેક	Québec
વિકિમીડિયા ફાઉન્ડેશન	Wikimedia Foundation
જીમ્મી વેલ્સ	Jimmy Wales
જર્મની	Allemagne
બેલારુસ	Biélorussie
જર્મન ભાષા	Allemand
આઈસલેંડ	Islande
ઈશ્વર	Dieu
ઈસ્ટોનિયા	Estonie
શનિ (ગ્રહ)	Saturne (planète)
ચેરી	Cerise
૧	1 (nombre)
૦ (શૂન્ય)	Zéro
લાટવિયા	Lettonie
યુક્રેન	Ukraine
સ્લોવાકિયા	Slovaquie
સ્લોવેનિયા	Slovénie
મોલ્દોવા	Moldavie
રોમાનિયા	Roumanie
બલ્ગેરિયા	Bulgarie
મેસેડોનિયા	Macédoine (pays)
આલ્બેનિયા	Albanie
ક્રોએશિયા	Croatie
અઝેરબીજાન	Azerbaïdjan
સાયપ્રસ	Chypre (pays)
જ્યોર્જીયા (દેશ)	Géorgie (pays)
કઝાકિસ્તાન	Kazakhstan
માલ્ટા	Malte
મોનૅકો	Monaco
મોન્ટેનીગ્રો	Monténégro
સાન મૅરિનો	Saint-Marin
ઍફીલ ટાવર	Tour Eiffel
ઇન્ટેલ કોર્પોરેશન	Intel
કોમ્પ્યુટર કીબોર્ડ	Clavier d'ordinateur
જાવા (પ્રોગ્રામિંગ ભાષા)	Java (langage)
ઈંડોનેશિયા	Indonésie
મોઝાર્ટ	Wolfgang Amadeus Mozart
દક્ષિણ આફ્રિકા	Afrique du Sud
વિકિસ્રોત	Wikisource
ઉઝબેકિસ્તાન	Ouzbékistan
પાણી	Eau
ચીલી	Chili
ઇસુ	Jésus-Christ
ગૅલિલિયો ગૅલિલિ	Galilée (savant)
બુધ (ગ્રહ)	Mercure (planète)
ઇતિહાસ	Histoire
શુક્ર (ગ્રહ)	Vénus (planète)
ભાષા	Langage
