Afelika	Afrique
Japan	Japon
Norge	Norvège
Hongrie	Hongrie
Espania	Espagne
Belezi	Belgique
Luxembourg	Luxembourg (pays)
Ntoto	Terre
Muntu	Homo sapiens
Finlandi	Finlande
Suedi	Suède
Danemark	Danemark
Pologne	Pologne
Lietuva	Lituanie
Italia	Italie
Suisi	Suisse
Autriche	Autriche
Gelesi	Grèce
Turki	Turquie
Mputulukesi	Portugal
Mputu	Europe
Azia	Asie
Pays-Bas	Pays-Bas
Berlin	Berlin
Ludinatelo	Ordinateur
Paris	Paris
Kenya	Kenya
Itiopia	Éthiopie
Gana	Ghana
Nkosi	Lion
Fwalansa	France
Royaume-Uni	Royaume-Uni
Nyawu	Chat
Sina	Chine
Kifalanse	Français
Brazil	Brésil
François Hollande	François Hollande
Rusia	Russie
Kalunga	Mer
Alemanyi	Allemagne
Belarusia	Biélorussie
Kidoitce	Allemand
Islande	Islande
Estonia	Estonie
Ndèke	Avion
Vita	Guerre
4 (ntalu)	4 (nombre)
Latvia	Lettonie
Uklenyi	Ukraine
République tchèque	République tchèque
Slovakia	Slovaquie
Slovenia	Slovénie
Vilnius	Vilnius
Moldova	Moldavie
Romania	Roumanie
Balgaria	Bulgarie
Roma	Rome
Makedonia	Macédoine (pays)
Albania	Albanie
Kroatia	Croatie
Bosna	Bosnie-Herzégovine
Azerbaidjan	Azerbaïdjan
Andora	Andorre
Kipros	Chypre (pays)
Kazakhstan	Kazakhstan
Malta	Malte
Monako	Monaco
Monte Negro	Monténégro
Vatican	Vatican
Saint-Marin	Saint-Marin
Repubilika ya Afelika ya Sudi	Afrique du Sud
Algeria	Algérie
Uzbekistan	Ouzbékistan
Maza	Eau
Chile	Chili
Yesu	Jésus-Christ
Ndinga	Langage
Kizabu	Science
Liechtenstein	Liechtenstein
Ubuntu	Ubuntu
Skopje	Skopje
Kilatini	Latin
Bahrain	Bahreïn
Armenia	Arménie
Serbie	Serbie
Australia	Australie
Fizika	Physique
Kisilamu	Islam
Dinu	Dent
