Āfrika	Afrique
Japāna	Japon
Dienvidamerika	Amérique du Sud
Norvēģija	Norvège
Anglija	Angleterre
Skotija	Écosse
Velsa	Pays de Galles
Ziemeļīrija	Irlande du Nord
Īrija	Irlande (pays)
Ungārija	Hongrie
Spānija	Espagne
Amerikas Savienotās Valstis	États-Unis
Beļģija	Belgique
Luksemburga	Luxembourg (pays)
Visums	Univers
Zeme	Terre
Dzīvība	Vie
Nāve	Mort
Cilvēks	Homo sapiens
Laime	Bonheur
Džordžs Vašingtons	George Washington
Duglass Adamss	Douglas Adams
Tims Bērnerss-Lī	Tim Berners-Lee
Imagine (dziesma)	Imagine (chanson)
Stenlijs Kubriks	Stanley Kubrick
Vikidati	Wikidata
Somija	Finlande
Zviedrija	Suède
Dānija	Danemark
Polija	Pologne
Lietuva	Lituanie
Itālija	Italie
Šveice	Suisse
Austrija	Autriche
Grieķija	Grèce
Turcija	Turquie
Alus	Bière
Portugāle	Portugal
Eiropa	Europe
Āzija	Asie
Ziemeļamerika	Amérique du Nord
Antarktīda	Antarctique
Vikipēdija	Wikipédia
All your base are belong to us	All your base are belong to us
Nīderlande	Pays-Bas
Dzimumloceklis	Pénis
PHP	PHP
Ņujorka	New York
Vašingtona	Washington (district de Columbia)
Sanfrancisko	San Francisco
Berlīne	Berlin
Losandželosa	Los Angeles
Boeing	Boeing
Airbus	Airbus
Dators	Ordinateur
Berne	Berne
Ženēva	Genève
Cīrihe	Zurich
IRC	Internet Relay Chat
Internets	Internet
Baraks Obama	Barack Obama
Urugvaja	Uruguay
Bāzele	Bâle
Printeris	Imprimante
MediaWiki	MediaWiki
Londona	Londres
Kaira	Le Caire
Galvassāpes	Céphalée
Aleksandrija	Alexandrie
Aleksandrija (Virdžīnija)	Alexandria (Virginie)
Ābols	Pomme
Parīze	Paris
Abrahams Linkolns	Abraham Lincoln
Android	Android
Google	Google
Meksika	Mexique
Atlantijas okeāns	Océan Atlantique
Klusais okeāns	Océan Pacifique
Kalifornija	Californie
Bostona	Boston
Pirmdiena	Lundi
Telpa	Espace (notion)
Janvāris	Janvier
Februāris	Février
Marts	Mars (mois)
Marss (planēta)	Mars (planète)
Marss (mitoloģija)	Mars (mythologie)
Kenija	Kenya
Etiopija	Éthiopie
Monarhs	Monarque
Gana	Ghana
Aprīlis	Avril
Maijs	Mai
Jūnijs	Juin
Jūlijs	Juillet
Augusts	Août
Septembris	Septembre
Oktobris	Octobre
Novembris	Novembre
Decembris	Décembre
Otrdiena	Mardi
Trešdiena	Mercredi
Ceturtdiena	Jeudi
Piektdiena	Vendredi
Sestdiena	Samedi
Svētdiena	Dimanche
Laidnis	Fou (échecs)
Bandinieks (šahs)	Pion (échecs)
Zirdziņš (šahs)	Cavalier (échecs)
Tornis (šahs)	Tour (échecs)
Karalis (šahs)	Roi (échecs)
Dāma (šahs)	Dame (échecs)
Lauva	Lion
Francija	France
Esperanto	Espéranto
Suns	Chien
Apvienotā Karaliste	Royaume-Uni
Kaķis	Chat
Ķīna	Chine
Franču valoda	Français
Vikivārdnīca	Wiktionnaire
Zivis	Poisson
Etanols	Éthanol
Alkoholiskie dzērieni	Boisson alcoolisée
Brazīlija	Brésil
Spirti	Alcool (chimie)
Fransuā Olands	François Hollande
Krievija	Russie
Vaļveidīgie	Cetacea
Optiskā šķiedra	Fibre optique
Jorkšīra	Yorkshire
Kvadrāts	Carré
Jūra	Mer
Melnā jūra	Mer Noire
Pī	Pi
Pī (burts)	Pi (lettre grecque)
Mango	Mangue
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
Sanpaulu	São Paulo
Sanpaulu (štats)	État de São Paulo
Kvebeka	Québec
Pica	Pizza
Pasta (ēdiens)	Pâtes alimentaires
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia Foundation
Džimijs Veilss	Jimmy Wales
English	English
Vācija	Allemagne
Baltkrievija	Biélorussie
Lerijs Sendžers	Larry Sanger
Itālijas himna	Fratelli d’Italia
Vācu valoda	Allemand
Islande	Islande
Dievs	Dieu
Igaunija	Estonie
Deivids Kemerons	David Cameron
Saturns (planēta)	Saturne (planète)
Saturna gredzeni	Anneaux de Saturne
Šokolāde	Chocolat
Lidmašīna	Avion
Karš	Guerre
1 (skaitlis)	1 (nombre)
2 (skaitlis)	2 (nombre)
3 (skaitlis)	3 (nombre)
4 (skaitlis)	4 (nombre)
5 (skaitlis)	5 (nombre)
Nulle	Zéro
Bezgalība	Infini
Stīvens Hārpers	Stephen Harper
