Afrika	Afrique
Japana	Japon
Norvezy	Norvège
Irlanda	Irlande (pays)
Espaina	Espagne
Etazonia	États-Unis
Belzika	Belgique
Loksemborga	Luxembourg (pays)
Tany	Terre
Fiainana	Vie
Olombelona	Homo sapiens
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Paul Otlet	Paul Otlet
Stanley Kubrick	Stanley Kubrick
Finlandy	Finlande
Soeda	Suède
Danmarka	Danemark
Polonia	Pologne
Litoania	Lituanie
Italia	Italie
Soisa	Suisse
Aotrisy	Autriche
Grisy	Grèce
Torkia	Turquie
Labiera	Bière
Pôrtogaly	Portugal
Eoropa	Europe
Azia	Asie
Amerika Avaratra	Amérique du Nord
Antartika	Antarctique
Wikipedia	Wikipédia
PHP	PHP
New York	New York
Washington D.C	Washington (district de Columbia)
San Francisco	San Francisco
Berlin	Berlin
Los Angeles	Los Angeles
Solosaina	Ordinateur
Internet	Internet
Barack Obama	Barack Obama
MediaWiki	MediaWiki
London	Londres
Kairo	Le Caire
Alexandria, Virginia	Alexandria (Virginie)
Paoma	Pomme
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Android	Android
Google	Google
Meksika	Mexique
Ranomasimbe Atlantika	Océan Atlantique
Ranomasimbe Pasifika	Océan Pacifique
Kalifornia	Californie
Boston, Massachusetts	Boston
Janoary	Janvier
Febroary	Février
Martsa	Mars (mois)
Mars (fajiry)	Mars (planète)
Kenia	Kenya
Etiopia	Éthiopie
Ghana	Ghana
Aprily	Avril
Mey	Mai
Jiona	Juin
Jolay	Juillet
Aogositra	Août
Septambra	Septembre
Oktobra	Octobre
Novambra	Novembre
Desambra	Décembre
Frantsa	France
Fiteny esperanto	Espéranto
Alika	Chien
Fanjakana Mitambatra	Royaume-Uni
Saka	Chat
Repoblika Entim-bahoakan'i Sina	Chine
Fiteny frantsay	Français
Wikibolana	Wiktionnaire
Hazandrano	Poisson
Alkôla	Boisson alcoolisée
Brazila	Brésil
François Hollande	François Hollande
Rosia	Russie
Efa-joro	Carré
Ranomasina Mainty	Mer Noire
Pi	Pi
Manga	Mangue
Wiki	Wiki
Alabama	Alabama
São Paulo	São Paulo
Québec	Québec
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Alemaina	Allemagne
Belarosia	Biélorussie
Fiteny alemana	Allemand
Islandy	Islande
Estonia	Estonie
David Cameron	David Cameron
Fiaramanidina	Avion
Tsiefa	Infini
Stephen Harper	Stephen Harper
George Bush	George W. Bush
Latvia	Lettonie
Okraina	Ukraine
Tsekia	République tchèque
Silaovakia	Slovaquie
Silaovenia	Slovénie
Vilnius	Vilnius
Romania	Roumanie
Biolgaria	Bulgarie
Roma	Rome
Masedonia	Macédoine (pays)
Albania	Albanie
Groenlanda	Groenland
Krôasia	Croatie
Bosnia sy Herzegovina	Bosnie-Herzégovine
Azerbaijana	Azerbaïdjan
Andora	Andorre
Repoblikan'i Kipra	Chypre (pays)
Jeorjia	Géorgie (pays)
Kazakstàna	Kazakhstan
Malta	Malte
Monakô	Monaco
Montenegro	Monténégro
San Marino	Saint-Marin
Brussel	Ville de Bruxelles
Kioba	Cuba
Belizy	Belize
Barbady	Barbade
Antso	Transmission sans fil
Indonezia	Indonésie
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Fiteny tiorka	Turc
Afrika Atsimo	Afrique du Sud
Aljeria	Algérie
Varsôvia	Varsovie
Rano	Eau
Hazo	Bois
Tours	Tours
Claude Monet	Claude Monet
Silia	Chili
El Greco	El Greco
Jesoa	Jésus-Christ
Elvis Presley	Elvis Presley
Galileo Galilei	Galilée (savant)
Merkiora	Mercure (planète)
Tantara	Histoire
Apple	Apple
Venosy	Vénus (planète)
Fiteny	Langage
Didy jadona	Dictature
Vondron-kintana	Galaxie
Uranus	Uranus (planète)
Eduardo Frei Ruiz-Tagle	Eduardo Frei Ruiz-Tagle
Nicolas Sarkozy	Nicolas Sarkozy
Hainkintana	Astronomie
Singapaoro	Singapour
Siansa	Science
Montréal	Montréal
Rindrankajy malalaka	Logiciel libre
Quimper	Quimper
La Flèche	La Flèche
Liechtenstein	Liechtenstein
Adolf Hitler	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
Ady Lehibe Voalohany	Première Guerre mondiale
Ady Lehibe Faharoa	Seconde Guerre mondiale
Kolikoly	Corruption
Augusto Pinochet	Augusto Pinochet
František Plánička	František Plánička
Ubuntu	Ubuntu
Skopje	Skopje
Linux	Linux
Bob Dylan	Bob Dylan
Fanisana	Mathématiques
U2	U2
Fiteny latina	Latin
Armenia	Arménie
Jenna Jameson	Jenna Jameson
Serbia	Serbie
Volana	Lune
Aostralia	Australie
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Fizika	Physique
Arjentina	Argentine
Fifandraisan-davitra	Télécommunications
Però	Pérou
Biolojia	Biologie
Korea Avaratra	Corée du Nord
Kambodia	Cambodge
Betsiboka	Betsiboka
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Naturalis Historia	Histoire naturelle (Pline l'Ancien)
Lech Wałęsa	Lech Wałęsa
Kodiarana	Roue
Fandriam-pahalemana	Paix
Encyclopædia Britannica	Encyclopædia Britannica
Vondrona Eoropeana	Union européenne
Plôvdiv	Plovdiv
Philipp Ludwig von Seidel	Philipp Ludwig von Seidel
Tranonkala	World Wide Web
