अफ्रीका	Afrique
जापान	Japon
दक्षिण अमेरिका	Amérique du Sud
नर्वे	Norvège
इङ्गल्याण्ड	Angleterre
स्कटल्यान्ड	Écosse
वेल्स	Pays de Galles
गणतन्त्र आयरल्यान्ड	Irlande (pays)
हंगेरी	Hongrie
स्पेन	Espagne
संयुक्त राज्य अमेरिका	États-Unis
बेल्जियम	Belgique
लक्जेम्बर्ग	Luxembourg (pays)
ब्रह्माण्ड	Univers
पृथ्वी	Terre
जीवन	Vie
मानिस	Homo sapiens
जर्ज वासिङ्टन	George Washington
फिनल्याण्ड	Finlande
स्वीडेन	Suède
डेनमार्क	Danemark
पोल्याण्ड	Pologne
लिथुआनिया	Lituanie
इटाली	Italie
स्विजरल्याण्ड	Suisse
अष्ट्रीया	Autriche
ग्रीस	Grèce
टर्की	Turquie
बियर	Bière
पोर्चुगल	Portugal
युरोप	Europe
एसिया	Asie
उत्तर अमेरिका	Amérique du Nord
अन्टार्क्टिका	Antarctique
विकिपीडिया	Wikipédia
नेदरल्यान्ड्स	Pays-Bas
लिङ्ग	Pénis
पिएचपी	PHP
न्यू योर्क शहर	New York
वासिङ्टन, डी.सी.	Washington (district de Columbia)
बर्लिन	Berlin
लस एन्जलस	Los Angeles
कम्प्युटर	Ordinateur
बर्न	Berne
इन्टरनेट	Internet
बाराक ओबामा	Barack Obama
उरुग्वे	Uruguay
लण्डन	Londres
स्याउ	Pomme
पेरिस	Paris
अब्राहम लिङ्कन	Abraham Lincoln
एन्ड्रोइड	Android
गुगल	Google
मेक्सिको	Mexique
आन्ध्र महासागर	Océan Atlantique
प्रशान्त महासागर	Océan Pacifique
क्यालिफोर्निया	Californie
सोमवार	Lundi
जनवरी	Janvier
फेब्रुअरी	Février
मार्च	Mars (mois)
मंगलग्रह	Mars (planète)
केन्या	Kenya
इथियोपिया	Éthiopie
घाना	Ghana
अप्रिल	Avril
मे	Mai
जुन	Juin
जुलाई	Juillet
अगस्ट	Août
सेप्टेम्बर	Septembre
अक्टोबर	Octobre
नोभेम्बर	Novembre
डिसेम्बर	Décembre
मंगलबार	Mardi
बुधवार	Mercredi
बिहीवार	Jeudi
शुक्रवार	Vendredi
शनिवार	Samedi
आइतबार	Dimanche
सिंह	Lion
फ्रान्स	France
एस्पेरान्तो	Espéranto
कुकुर	Chien
संयुक्त अधिराज्य	Royaume-Uni
बिरालो	Chat
जनबादी गणतन्त्र चीन	Chine
फ्रान्सेली भाषा	Français
माछा	Poisson
मादक पदार्थ	Boisson alcoolisée
ब्राजिल	Brésil
रुस	Russie
ह्वेल	Cetacea
अप्टिकल फाइबर	Fibre optique
वर्ग (आकार)	Carré
विकि	Wiki
टोरन्टो	Toronto
अलाबामा	Alabama
साओ पाउलो	São Paulo
विकिमिडिया फाउन्डेसन	Wikimedia Foundation
जिम्मी वेल्स	Jimmy Wales
जर्मनी	Allemagne
बेलारुस	Biélorussie
आइसल्याण्ड	Islande
ईश्वर	Dieu
इस्टोनिया	Estonie
डेविड क्यामरुन	David Cameron
शनिग्रह	Saturne (planète)
हवाईजहाज	Avion
