Naakaii Łizhiní Bikéyah	Afrique
Binaʼadaałtzózí Dinéʼiʼ Bikéyah	Japon
Bitsiighaʼ Łichííʼí Bikéyah	Irlande (pays)
Hángewii	Hongrie
Dibé Diníí Bikéyah	Espagne
Wááshindoon Bikéyah Ałhidadiidzooígíí	États-Unis
Bélgii Bikéyah	Belgique
Látsębooʼ	Luxembourg (pays)
Yágháhookáán	Univers
Nahasdzáán	Terre
Nahoditsʼǫʼłání	Finlande
Déinish Dineʼé Bikéyah	Danemark
Póolish Dineʼé Bikéyah	Pologne
Łitʼoowę́ęya	Lituanie
Ídelii	Italie
Swis Bikéyah	Suisse
Óóswiya	Autriche
Gwíík Dineʼé Bikéyah	Grèce
Tʼóok Bikéyah	Turquie
Béésh Bichʼahníí Bikéyah	Europe
(*@@@u0026asia")	Asie
Shádiʼááhjí kéyah yistinígíí	Antarctique
Kéyah Wóyahgo Siʼánígíí	Pays-Bas
Béésh bee akʼeʼelchíhí tʼáá bí nitsékeesígíí	Ordinateur
Hastiin alą́ąjįʼ dahsidáhígíí Barack Obama	Barack Obama
Táłtłʼááh Chʼosh Bitooh (Kéyah Dah Siʼánígíí)	Uruguay
Bilasáana	Pomme
Méhigo	Mexique
Akééháshį́į́h Hahoodzo	Californie
Máaz	Mars (planète)
Kénya	Kenya
Iithiyópya	Éthiopie
Gáana	Ghana
Náshdóítsoh bitsiijįʼ daditłʼooígíí	Lion
Dáághahii Dinéʼiʼ Bikéyah	France
Łééchąąʼí	Chien
Tótaʼ Dinéʼiʼ Bikéyah	Royaume-Uni
Mósí	Chat
Dáághahii bizaad	Français
Łóóʼ	Poisson
Bwazííl	Brésil
Biʼééʼ Łichííʼí Bikéyah	Russie
Łóóʼtsoh dóó Tééh hóyáanii	Cetacea
Naakaii bichʼil łitsxooí	Mangue
Élábéemah Hahoodzo	Alabama
Béésh Bichʼahii Bikéyah	Allemagne
Bééshbichʼahii bizaad	Allemand
Tin Bikéyah	Islande
Ééstii Bikéyah	Estonie
Séetin	Saturne (planète)
Didzéchííʼ	Cerise
Chidí naatʼaʼí	Avion
Hastiin alą́ąjįʼ dahsidáhígíí George W. Bush	George W. Bush
Létbiiya	Lettonie
Yóókwein	Ukraine
Chek Bikéyah	République tchèque
Słóbaʼ Bikéyah	Slovaquie
Słobíín Bikéyah	Slovénie
Wooméiniya	Roumanie
Bálgaa Bikéyah	Bulgarie
Dziłigaii Bikéyah	Albanie
Haʼaʼaahjí Hakʼaz Dineʼé Bikéyah	Groenland
Kwóóʼad Bikéyah	Croatie
Bosna dóó Hetsog Bikéyah	Bosnie-Herzégovine
Azééwii Bikéyah	Azerbaïdjan
Andówa	Andorre
Béésh Łichíiʼii Bikéyah	Chypre (pays)
Jóojah (Kéyah)	Géorgie (pays)
Kʼazah Bikéyah	Kazakhstan
Dziłizhin Bikéyah	Monténégro
Bádikin Sídii	Vatican
San Mawínoo Bikéyah	Saint-Marin
Kyóoba	Cuba
