Aphrika	Afrique
Nihun	Japon
Urin Awya Yala	Amérique du Sud
Nurwiga	Norvège
Inlatirra	Angleterre
Iskusya	Écosse
Kamri	Pays de Galles
Chinchay Ilanda	Irlande du Nord
Ilanda	Irlande (pays)
Unriya	Hongrie
Ispaña	Espagne
Hukllachasqa Amirika Suyukuna	États-Unis
Bilhika	Belgique
Luksimbur	Luxembourg (pays)
Ch'askancha	Univers
Tiksimuyu	Terre
Kawsay	Vie
Wañuy	Mort
Runa	Homo sapiens
Kusikuy	Bonheur
George Washington	George Washington
Stanley Kubrick	Stanley Kubrick
Phinsuyu	Finlande
Suwidsuyu	Suède
Dansuyu	Danemark
Pulunya	Pologne
Lituwa	Lituanie
Italya	Italie
Suwisa	Suisse
Awstiriya	Autriche
Grisya	Grèce
Turkiya	Turquie
Sirwisa	Bière
Purtugal	Portugal
Iwrupa	Europe
Asya	Asie
Chinchay Awya Yala	Amérique du Nord
Antartika	Antarctique
Wikipidiya	Wikipédia
Urasuyu	Pays-Bas
Ullu	Pénis
New York	New York
Washington DC	Washington (district de Columbia)
San Francisco (California)	San Francisco
Berlin	Berlin
Los Angeles	Los Angeles
Antañiqiq	Ordinateur
Bern	Berne
Genève	Genève
Zürich	Zurich
Internet	Internet
Barack Obama	Barack Obama
Uruwayi	Uruguay
Basel	Bâle
Antañiqiq ch'ipachina	Imprimante
London	Londres
Qahira	Le Caire
Uma nanay	Céphalée
Iskandariya	Alexandrie
Mansana	Pomme
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Mishiku	Mexique
Atlantiku mama qucha	Océan Atlantique
Sanp'a mama qucha	Océan Pacifique
California suyu	Californie
Boston (Massachusetts)	Boston
Killachaw	Lundi
Qhulla puquy killa	Janvier
Hatun puquy killa	Février
Pawqar waray killa	Mars (mois)
Awqakuq	Mars (planète)
Kinya	Kenya
Ithiyupya	Éthiopie
Gana	Ghana
Ayriway killa	Avril
Aymuray killa	Mai
Inti raymi killa	Juin
Anta situwa killa	Juillet
Chakra yapuy killa	Août
Tarpuy killa	Septembre
Kantaray killa	Octobre
Ayamarq'a killa	Novembre
Qhapaq raymi killa	Décembre
Atipachaw	Mardi
Quyllurchaw	Mercredi
Illapachaw	Jeudi
Ch'askachaw	Vendredi
K'uychichaw	Samedi
Intichaw	Dimanche
Liyun	Lion
Ransiya	France
Esperanto simi	Espéranto
Allqu	Chien
Hukllachasqa Qhapaq Suyu	Royaume-Uni
Michi	Chat
Chunwa Runallaqta Ripuwlika	Chine
Ransis simi	Français
Challwa	Poisson
Ethanul	Éthanol
Brasil	Brésil
Alkul	Alcool (chimie)
François Hollande	François Hollande
Rusiya	Russie
Wallina	Cetacea
Q'aytucha	Fibre
T'asra	Carré
Hatun qucha	Mer
Yana hatun qucha	Mer Noire
Chiqaluwa	Pi
Wiki	Wiki
Toronto	Toronto
Alabama suyu	Alabama
São Paulo	São Paulo
São Paulo suyu	État de São Paulo
Quebec pruwinsya	Québec
Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Alimanya	Allemagne
Bilarus	Biélorussie
Aliman simi	Allemand
Islandya	Islande
Apuyaya	Dieu
Istunya	Estonie
David Cameron	David Cameron
Hawcha	Saturne (planète)
Chukulati	Chocolat
Antanka	Avion
Maqanakuy	Guerre
Huk	1 (nombre)
Iskay	2 (nombre)
Kimsa	3 (nombre)
Tawa	4 (nombre)
Pichqa	5 (nombre)
Ch'usaq yupay	Zéro
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Wask'a	Rectangle
Chiqan chhuka	Angle droit
Litunya	Lettonie
Ukranya	Ukraine
Chiksuyu	République tchèque
Isluwakya	Slovaquie
Isluwinya	Slovénie
Vilnius	Vilnius
Mulduwa	Moldavie
Rumanya	Roumanie
Bulgarya	Bulgarie
Roma	Rome
Makidunya	Macédoine (pays)
Albanya	Albanie
Kalalit Suyu	Groenland
Hurwatsuyu	Croatie
Busna-Hirsiquwina	Bosnie-Herzégovine
Asarsuyu	Azerbaïdjan
Andurra	Andorre
Kipru	Chypre (pays)
Kartulsuyu	Géorgie (pays)
Qasaqsuyu	Kazakhstan
Malta	Malte
Munaku	Monaco
Yanaurqu	Monténégro
Watikanu llaqta	Vatican
San Marino	Saint-Marin
Brussel	Ville de Bruxelles
Kuwa	Cuba
Bilisi	Belize
Yatana llumpa	Clavier d'ordinateur
Indunisya	Indonésie
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turku simi	Turc
Urin Aphrika	Afrique du Sud
Alhirya	Algérie
Usbiksuyu	Ouzbékistan
Poznań	Poznań
Warszawa	Varsovie
Modena	Modène
Winu	Vin
Yaku	Eau
Qiru	Bois
Ñawikaruy	Télévision
Islandya simi	Islandais
Claude Monet	Claude Monet
Diego Velázquez	Diego Vélasquez
Chili	Chili
El Greco	El Greco
Jesus	Jésus-Christ
Elvis Presley	Elvis Presley
Galileo Galilei	Galilée (savant)
Qatuylla	Mercure (planète)
Wiñay kawsay	Histoire
Ch'aska	Vénus (planète)
Rimay	Langage
Khuyay	Amour
Llaqta saruy	Dictature
Ñuñu warani	Galaxie
Pirwa	Jupiter (planète)
Michelle Bachelet	Michelle Bachelet
Qullqaquyllur	Voie lactée
Hatun t'uqyay	Big Bang
Uranu (puriq quyllur)	Uranus (planète)
Bretagne	Bretagne
Nicolas Sarkozy	Nicolas Sarkozy
Niptun (puriq quyllur)	Neptune (planète)
Quyllur yachay	Astronomie
Singapur	Singapour
Hamut'ay	Science
Plutun (tuna puriq quyllur)	Pluton (planète naine)
Montreal	Montréal
Qhipa pacha	Futur
Qullana Mariya	Marie (mère de Jésus)
Liechtenstein	Liechtenstein
Kurku kallpanchay	Sport
Cambridge	Cambridge
Yellowstone mamallaqta parki	Parc national de Yellowstone
Adolf Hitler	Adolf Hitler
Huk ñiqin pachantin maqanakuy	Première Guerre mondiale
Iskay ñiqin pachantin maqanakuy	Seconde Guerre mondiale
Köln	Cologne
Pacha tupuq	Horloge
Skopje	Skopje
Gdynia	Gdynia
Linux	Linux
Szczecin	Szczecin
Yupay yachay	Mathématiques
U2	U2
Latin simi	Latin
Bahrayn	Bahreïn
Arminya	Arménie
Sirbya	Serbie
Killa	Lune
Istanbul	Istanbul
Awstralya	Australie
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Pachaykamay	Physique
Arhintina	Argentine
Piruw	Pérou
Kawsay yachay	Biologie
Chusun Runakapaq Runallaqta Republika	Corée du Nord
Kambuya	Cambodge
Quran	Coran
Dinusawru	Dinosaure
Suwuluhiya	Zoologie
Islam	Islam
Pira	Pyrus
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Butanika	Botanique
Lech Wałęsa	Lech Wałęsa
Qalla	Roue
Thak	Paix
Lyon	Lyon
Iwrupa Huñu	Union européenne
Rhône-Alpes	Rhône-Alpes
Warmi	Femme
Sofiya	Sofia
Witkhu	Aqueduc
Ñ	Ñ
Don Quijote	Don Quichotte
Harawi	Poésie
Qilla	Paresse
Antañiqiq añaw	Virus informatique
Asikuy	Sourire
Milano	Milan
Yuyay	Mémoire (psychologie)
Torino	Turin
Aka	Matière fécale
Sip'uti	Anus
Puquy k'allku	Citron
Émile Zola	Émile Zola
666	666
Tuktu	Fleur
Chomolungma	Everest
Kurkumanta yachay	Anatomie
Hatun llaqta	Ville
Napoléon Bonaparte	Napoléon Ier
Quyllur	Étoile
Inti	Soleil
Hanaq pacha	Ciel
Louis Pasteur	Louis Pasteur
Achkiy wata	Année-lumière
Uchuy llaqta	Village
Victor Hugo	Victor Hugo
Usiyanya	Océanie
Giuseppe Garibaldi	Giuseppe Garibaldi
Kallpanakuy	Athlétisme
Inti Llika	Système solaire
Baltiku hatun qucha	Mer Baltique
Trieste	Trieste
Kiru	Dent
Yakuchaq	Hydrogène
Ilyu	Hélium
Ukhu pacha	Enfer
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Lityu	Lithium
Berilyu	Béryllium
Ruqyaq	Haut-parleur
Liwru	Livre (document)
P'unchaw	Jour
Anti Timur	Timor oriental
Tuta	Nuit
Wata	Année (calendrier)
Pachakwata	Siècle
Łódź	Łódź
Rhein	Rhin
Oslo	Oslo
Bonn	Bonn
Tukuy Santukuna	Toussaint
Katowice	Katowice
Luís de Camões	Luís de Camões
Chinaku	Gay (homosexualité)
Siris (tuna puriq quyllur)	(1) Cérès
Lisboa	Lisbonne
Rzeszów	Rzeszów
Haumea (puriq quyllur)	(136108) Hauméa
Makemake (tuna puriq quyllur)	(136472) Makémaké
Eris (tuna puriq quyllur)	(136199) Éris
Lionel Messi	Lionel Messi
Padova	Padoue
Boru	Bore
Nicolaus Copernicus	Nicolas Copernic
K'illimsayaq	Carbone
Alessandro Del Piero	Alessandro Del Piero
Qullpachaq	Azote
Bergamo	Bergame
Muksichaq	Oxygène
Inter Milano	FC Internazionale Milano
Pachahina	Planète
Kleopatra VII	Cléopâtre VII
Taki kapchiy	Musique
Venezia	Venise
Rennes	Rennes
Lille	Lille
Moskwa	Moscou
Flur	Fluor
Italya simi	Italien
Niyun	Néon
Chihuahua suyu	État de Chihuahua
Sankt Peterburg	Saint-Pétersbourg
Chad	Tchad
Natriyu	Sodium
Chincha	Nord
Qunta q'illay	Magnésium
Ch'aqu q'illay	Aluminium
Musuq Silanda	Nouvelle-Zélande
Urin	Sud
Indya	Inde
Ullayayaq	Silicium
Fransyu	Francium
Tuwalu	Tuvalu
Phusphuru	Phosphore
Khillay	Fer
Tunqa	Tonga
Kunti	Ouest
Alessandro Volta	Alessandro Volta
Salina	Soufre
Samwa	Samoa
Anti	Est
Salumun wat'akuna	Salomon (pays)
Wanwatu	Vanuatu
Molière	Molière
Kluru	Chlore
Delft	Delft
Papwa Ñukini	Papouasie-Nouvelle-Guinée
William Shakespeare	William Shakespeare
Zuid-Holland pruwinsya	Hollande-Méridionale
Palaw	Palaos
Argun	Argon
Nawru	Nauru
Noord-Holland pruwinsya	Hollande-Septentrionale
Mikrunisya (mama llaqta)	Micronésie (pays)
Kalyu	Potassium
Zeeland pruwinsya	Zélande
Isku q'illay	Calcium
Flevoland pruwinsya	Flevoland
Titi	Plomb
Marshall Wat'akuna	Îles Marshall
