Africa	Afrique
Japan	Japon
South America	Amérique du Sud
Norway	Norvège
Scotland	Écosse
Wales	Pays de Galles
Ireland	Irlande (pays)
Hungary	Hongrie
Spain	Espagne
United States of America	États-Unis
Belgium	Belgique
Luxembourg	Luxembourg (pays)
Rudunhumwe	Univers
Rinopasi	Terre
Finland	Finlande
Sweden	Suède
Denmark	Danemark
Poland	Pologne
Lithuania	Lituanie
Italy	Italie
Switzerland	Suisse
Austria	Autriche
Greece	Grèce
Turkey	Turquie
Doro	Bière
Portugal	Portugal
Europe	Europe
Asia	Asie
North America	Amérique du Nord
Netherlands	Pays-Bas
Mboro	Pénis
Washington, DC	Washington (district de Columbia)
Bern	Berne
Uruguay	Uruguay
London	Londres
Cairo	Le Caire
Alexandria	Alexandrie
Paris	Paris
Mexico	Mexique
Gungwa reAtlantic	Océan Atlantique
Gungwa rePacific	Océan Pacifique
Muvhuro	Lundi
Kenya	Kenya
Ethiopia	Éthiopie
Ghana	Ghana
Gunyana	Septembre
Chipiri	Mardi
Chitatu	Mercredi
China (Musi)	Jeudi
Chishanu (musi)	Vendredi
Mugovera	Samedi
Svondo (musi)	Dimanche
Shumba	Lion
France	France
Imbwa	Chien
United Kingdom	Royaume-Uni
Katsi	Chat
China (nyika)	Chine
Hove	Poisson
Brazil	Brésil
Russian Federation	Russie
Skweya	Carré
Germany	Allemagne
Belarus	Biélorussie
Iceland	Islande
Mwari	Dieu
Estonia	Estonie
Ndege	Avion
Hondo	Guerre
Motsi	1 (nombre)
Piri	2 (nombre)
Tatu	3 (nombre)
China	4 (nombre)
Shanu	5 (nombre)
Chipasina	Zéro
Ruramamakonyo	Rectangle
Rurama (pimanyika)	Angle droit
Latvia	Lettonie
Ukraine	Ukraine
Czechia	République tchèque
Slovakia	Slovaquie
Slovenia	Slovénie
Vilnius	Vilnius
Moldova	Moldavie
Romania	Roumanie
Bulgaria	Bulgarie
Rome	Rome
Macedonia	Macédoine (pays)
Albania	Albanie
Croatia	Croatie
Bosnia and Herzegovina	Bosnie-Herzégovine
Azerbaijan	Azerbaïdjan
Andorra	Andorre
Cyprus	Chypre (pays)
Georgia	Géorgie (pays)
Kazakhstan	Kazakhstan
Malta	Malte
Monaco	Monaco
Montenegro	Monténégro
Vatican City	Vatican
San Marino	Saint-Marin
Brussels	Région de Bruxelles-Capitale
Cuba	Cuba
Belize	Belize
Barbados	Barbade
Indonesia	Indonésie
South Africa	Afrique du Sud
Algeria	Algérie
Uzbekistan	Ouzbékistan
Tashkent	Tachkent
Warsaw	Varsovie
Mvura	Eau
Dehwe	Cuir
Chile	Chili
Nhoroondo	Histoire
Mutauro	Langage
Zvechadenga	Astronomie
Singapore	Singapour
Liechtenstein	Liechtenstein
Hondo yePasirose yeChiposhi	Première Guerre mondiale
Hondo yePasirose yeChipiri	Seconde Guerre mondiale
