Afrika	Afrique
Jabaan	Japon
Ameerikada koonfureed	Amérique du Sud
Norway	Norvège
Ingiriiska	Angleterre
Skotland	Écosse
Waalis	Pays de Galles
Waqooyiga Ayrland	Irlande du Nord
Ireland	Irlande (pays)
Hungaria	Hongrie
Isbania	Espagne
Mareykanka	États-Unis
Beljim	Belgique
Luksemburg	Luxembourg (pays)
Koon	Univers
Dhul	Terre
Nolosha	Vie
Biniaadan	Homo sapiens
George Washington	George Washington
Finland	Finlande
Iswiidhan	Suède
Denmark	Danemark
Boland	Pologne
Lithuaniya	Lituanie
Talyaaniga	Italie
Iswisarland	Suisse
Austriya	Autriche
Giriig	Grèce
Turkiga	Turquie
Bortuqaal	Portugal
Yurub	Europe
Aasiya	Asie
Woqooyiga Ameerika	Amérique du Nord
Antiarktis	Antarctique
Wikipedia	Wikipédia
Holland	Pays-Bas
New York	New York
Washington D.C	Washington (district de Columbia)
Baarliin	Berlin
Los Angeles	Los Angeles
Boeing	Boeing
Kumbuyuutar	Ordinateur
Jineefa	Genève
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
London	Londres
Qaahiro	Le Caire
Baariis	Paris
Android	Android
Google	Google
Meksiko	Mexique
Badweynta Atlaantik	Océan Atlantique
Badweynta Baasifik	Océan Pacifique
Kalifornia	Californie
Isniin	Lundi
Janaayo	Janvier
Febraayo	Février
Maarso	Mars (mois)
Farraare	Mars (planète)
Kiinya	Kenya
Itoobiya	Éthiopie
Gaana	Ghana
Abriil	Avril
May	Mai
Juun	Juin
Luuliyo	Juillet
Agoosto	Août
Sebteembar	Septembre
Oktoobar	Octobre
Nofeembar	Novembre
Diseembar	Décembre
Talaado	Mardi
Arbaco	Mercredi
Khamiis	Jeudi
Jimco	Vendredi
Sabti	Samedi
Axad	Dimanche
Libaax	Lion
Faransiiska	France
Esberanto	Espéranto
Ey	Chien
Midowga boqortooyada Britan	Royaume-Uni
Yaanyuur	Chat
Shiinaha	Chine
Af-Faransiis	Français
Malaay	Poisson
Khamri	Boisson alcoolisée
Barasiil	Brésil
François Hollande	François Hollande
Ruushka	Russie
Nibiri	Cetacea
Labajibaarane	Carré
Bad	Mer
Bada madaw	Mer Noire
Pi Sumad xisaabeed	Pi
Cambe	Mangue
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
São Paulo (Gobol)	État de São Paulo
Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Ingiriis	English
Jarmalka	Allemagne
Belarus	Biélorussie
Af-Jarmal	Allemand
Island	Islande
Estoniya	Estonie
David Cameron	David Cameron
Raage	Saturne (planète)
Chocolate	Chocolat
Dagaalada	Guerre
Kow	1 (nombre)
Labo	2 (nombre)
Sadax	3 (nombre)
Afar (lambar)	4 (nombre)
Shan	5 (nombre)
0	Zéro
George W. Bush	George W. Bush
Laydi	Rectangle
Latfiya	Lettonie
Ukrain	Ukraine
Jamhuuriyadda Tashik	République tchèque
Islofaakiya	Slovaquie
Isloveeniya	Slovénie
Moldofa	Moldavie
Romania	Roumanie
Bulgaria	Bulgarie
Roma	Rome
Jamhuriyada Makedonia	Macédoine (pays)
Albania	Albanie
Griinland	Groenland
Kroatia	Croatie
Bosniya	Bosnie-Herzégovine
Aserbiijaan	Azerbaïdjan
Andorra	Andorre
Jasiirada Qabrus	Chypre (pays)
Joorjiya	Géorgie (pays)
Kasakhstan	Kazakhstan
Malta	Malte
Monako	Monaco
Montenegro	Monténégro
Faatikan	Vatican
San Marino	Saint-Marin
Boroksel	Ville de Bruxelles
Kuuba	Cuba
Belise	Belize
Barbados	Barbade
Indunisiya	Indonésie
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Af-Turki	Turc
Koonfur Afrika	Afrique du Sud
Aljeeriya	Algérie
Usbekistan	Ouzbékistan
Biyo	Eau
Alwaax	Bois
Telefishin	Télévision
Claude Monet	Claude Monet
Diego Velázquez	Diego Vélasquez
Jili	Chili
El Greco	El Greco
Ciise	Jésus-Christ
Dusaa	Mercure (planète)
Taariikh	Histoire
Apple Inc	Apple
Waxaraxir	Vénus (planète)
Jaceyl	Amour
Cirjeex	Jupiter (planète)
Uraano	Uranus (planète)
Nicolas Sarkozy	Nicolas Sarkozy
Nebtuun	Neptune (planète)
Xiddigis	Astronomie
Singabuur	Singapour
Saynis	Science
Buluuto	Pluton (planète naine)
Liechtenstein	Liechtenstein
Ciyaaraha	Sport
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Julian Assange	Julian Assange
Dagaalkii koowaad	Première Guerre mondiale
Dagaalkii Labaad ee Aduunka	Seconde Guerre mondiale
Goorsheegto	Horloge
Linux	Linux
Xisaab	Mathématiques
Af-Laatiin	Latin
Baxrayn	Bahreïn
Armania	Arménie
Seerbiya	Serbie
Bil	Lune
Istanbuul	Istanbul
Australia	Australie
Fiisigis	Physique
Arjantiina	Argentine
Isgaarsiinta	Télécommunications
Peru	Pérou
Bayoloji	Biologie
Waqooyiga Kuuriya	Corée du Nord
Kambodiya	Cambodge
Qur'aan	Coran
Diinsoor (xayawaan)	Dinosaure
Islaam	Islam
Ljubljana	Ljubljana
World Wide Web	World Wide Web
Naag	Femme
Gabay	Poésie
Chernobyl	Catastrophe nucléaire de Tchernobyl
Milan	Milan
Torino	Turin
Liin dhanaan	Citron
Moos	Banane
Ubax	Fleur
Magaalo	Ville
Napoleon Bonaparte	Napoléon Ier
Xidig	Étoile
Qorax	Soleil
Cir	Ciel
Tuulo	Village
Ooshiyaaniya	Océanie
Bahda Midaysay Qoraxdu	Système solaire
Ilig	Dent
Hydrogen	Hydrogène
Hiliyaam	Hélium
Ilik	Dent humaine
Cadaab	Enfer
Wikimedia Commons	Wikimedia Commons
Liithiyaam	Lithium
Beriiliyaam	Béryllium
Buug	Livre (document)
Maalin	Jour
Bariga Timor	Timor oriental
Sanad	Année (calendrier)
Qarni	Siècle
Oslo	Oslo
Lissabon	Lisbonne
Dubay	Dubaï (émirat)
Lionel Messi	Lionel Messi
Booron	Bore
Versailles	Versailles
Kaarboon	Carbone
Nitrojiin	Azote
Ogsajiin	Oxygène
FC Internazionale Milano	FC Internazionale Milano
Meere	Planète
Muusig	Musique
Moskow	Moscou
Foloriin	Fluor
Af-Taliyaani	Italien
Niyoon	Néon
Saint Petersburg	Saint-Pétersbourg
Jad	Tchad
Sodhiyaam	Sodium
Woqooyi	Nord
Magniisiyaam	Magnésium
Alumiiniyaam	Aluminium
New Zealand	Nouvelle-Zélande
Koonfur	Sud
Hindiya	Inde
Silikoon	Silicium
Faransiyaam	Francium
Tuvalu	Tuvalu
Fosforos	Phosphore
Xadiid	Fer
Galbeed	Ouest
Salfar	Soufre
Bari (Jiho)	Est
Jasiiradaha Solomon	Salomon (pays)
Koloriin	Chlore
Koofurta Holland	Hollande-Méridionale
Balau	Palaos
Aargon	Argon
Nawru	Nauru
Firefox	Mozilla Firefox
Waqooyiga Holland	Hollande-Septentrionale
Botashiyaam	Potassium
Zeeland	Zélande
Kaalshiyaam	Calcium
Flevoland	Flevoland
Lead	Plomb
Jasiirada Marshall	Îles Marshall
Kiribati	Kiribati
Mongolia	Mongolie
Fiji	Fidji
Iskaandhiyaam	Scandium
Titaaniyaam	Titane
Fanansuwela	Venezuela
Jinkis Khan	Gengis Khan
Fanadhiyaam	Vanadium
Koroomiyaam	Chrome
Faras	Cheval
Amistardam	Amsterdam
Hub	Arme
Xayawaan	Animal
Surinam	Suriname
Manganiis	Manganèse
Paraguay	Paraguay
Guyana	Guyana
Fan	Art
Ikwadoor	Équateur (pays)
Reheniyaam	Rhénium
Kolombiya	Colombie
Kobalti	Cobalt
Tungsten	Tungstène
Nikel	Nickel
Boliifia	Bolivie
Osmiyaam	Osmium
Groningen	Groningue (province)
Kober	Cuivre
Beer	Plante
Sinki	Zinc
Leonardo da Vinci	Léonard de Vinci
Boqoshaa	Fungi
Jamayka	Jamaïque
Friesland	Frise (province)
Drenthe	Drenthe
Overijssel	Overijssel
Guatemala	Guatemala
Gelderland	Gueldre (province)
Utrecht	Utrecht (province)
Bahamas	Bahamas
Dooro	Gallus gallus domesticus
Antigua iyo Barbuda	Antigua-et-Barbuda
Hawaay	Hawaï
Dominika	Dominique (pays)
Doofaar	Porc
Haiti	Haïti
El Salfador	Salvador
Iiraan	Iran
Ciraaq	Irak
Xikmad	Sagesse
Kosta Rika	Costa Rica
Israaiil	Israël
Magaalada Utrecht	Utrecht
Banama	Panama
Yemen	Yémen
Virus	Virus
Urdun	Jordanie
Nikaragua	Nicaragua
Florida	Floride
Qargistan	Kirghizistan
Kuwayt	Koweït
Laos	Laos
Lubnaan	Liban
Jasiirada Maldiif	Maldives
Ameerika	Amérique
Lo'	Bos taurus
Malaysiya	Malaisie
Burma	Birmanie
Nebal	Népal
Cumaan	Oman
Bakistaan	Pakistan
Qatar	Qatar
