Afrika	Afrique
Japani	Japon
Amerika ya Kusini	Amérique du Sud
Norwei	Norvège
Uingereza	Angleterre
Uskoti	Écosse
Welisi	Pays de Galles
Eire	Irlande (pays)
Hungaria	Hongrie
Hispania	Espagne
Marekani	États-Unis
Ubelgiji	Belgique
Luxemburg	Luxembourg (pays)
Ulimwengu	Univers
Dunia	Terre
Mauti	Mort
Binadamu	Homo sapiens
George Washington	George Washington
Jack Bauer	Jack Bauer
Tim Berners-Lee	Tim Berners-Lee
Stanley Kubrick	Stanley Kubrick
Ufini	Finlande
Uswidi	Suède
Denmark	Danemark
Poland	Pologne
Lituanya	Lituanie
Italia	Italie
Uswisi	Suisse
Austria	Autriche
Ugiriki	Grèce
Uturuki	Turquie
Bia	Bière
Ureno	Portugal
Ulaya	Europe
Asia	Asie
Amerika ya Kaskazini	Amérique du Nord
Bara la Antaktiki	Antarctique
Wikipedia	Wikipédia
Uholanzi	Pays-Bas
Mboo	Pénis
New York	New York
Washington, D.C.	Washington (district de Columbia)
San Francisco	San Francisco
Berlin	Berlin
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Tarakilishi	Ordinateur
Bern	Berne
Geneva	Genève
Zürich	Zurich
IRC	Internet Relay Chat
Intaneti	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
London	Londres
Kairo	Le Caire
Aleksandria	Alexandrie
Alexandria, Virginia	Alexandria (Virginie)
Tofaa	Pomme
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Mexiko	Mexique
Atlantiki	Océan Atlantique
Pasifiki	Océan Pacifique
California	Californie
Boston, Massachusetts	Boston
Jumatatu	Lundi
Januari	Janvier
Februari	Février
Machi	Mars (mois)
Mirihi	Mars (planète)
Kenya	Kenya
Ethiopia	Éthiopie
Ghana	Ghana
Aprili	Avril
Mei	Mai
Juni	Juin
Julai	Juillet
Agosti	Août
Septemba	Septembre
Oktoba	Octobre
Novemba	Novembre
Desemba	Décembre
Jumanne	Mardi
Jumatano	Mercredi
Alhamisi	Jeudi
Ijumaa	Vendredi
Jumamosi	Samedi
Jumapili	Dimanche
Kitunda (kete)	Pion (échecs)
Shaha (kete)	Roi (échecs)
Simba	Lion
Ufaransa	France
Kiesperanto	Espéranto
Mbwa-kaya	Chien
Ufalme wa Muungano	Royaume-Uni
Paka-kaya	Chat
Jamhuri ya Watu wa China	Chine
Kifaransa	Français
Wiktionary	Wiktionnaire
Samaki	Poisson
Ethanoli	Éthanol
Brazil	Brésil
Alkoholi	Alcool (chimie)
Urusi	Russie
Nyangumi	Cetacea
Mraba	Carré
Bahari	Mer
Bahari Nyeusi	Mer Noire
Pi (namba)	Pi
Pi	Pi (lettre grecque)
Wiki	Wiki
Toronto, Ontario	Toronto
Alabama	Alabama
São Paulo	São Paulo
Jimbo la São Paulo	État de São Paulo
Quebec	Québec
Pizza	Pizza
Pasta	Pâtes alimentaires
Wikimedia Foundation	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Ujerumani	Allemagne
Belarus	Biélorussie
Kijerumani	Allemand
Iceland	Islande
Mungu	Dieu
Estonia	Estonie
Zohali	Saturne (planète)
Chokoleti	Chocolat
Ndege (uanahewa)	Avion
Vita	Guerre
Moja	1 (nombre)
Mbili	2 (nombre)
Tatu	3 (nombre)
Nne	4 (nombre)
Tano	5 (nombre)
Sifuri	Zéro
George W. Bush	George W. Bush
Mstatili	Rectangle
Pembemraba	Angle droit
Latvia	Lettonie
Ukraine	Ukraine
Ucheki	République tchèque
Slovakia	Slovaquie
Slovenia	Slovénie
Vilnius	Vilnius
Moldova	Moldavie
Romania	Roumanie
Bulgaria	Bulgarie
Roma	Rome
Jamhuri ya Masedonia	Macédoine (pays)
Albania	Albanie
Greenland	Groenland
Kroatia	Croatie
Bosnia na Herzegovina	Bosnie-Herzégovine
Azerbaijan	Azerbaïdjan
Andorra	Andorre
Kupro	Chypre (pays)
Georgia (nchi)	Géorgie (pays)
Wallonia	Région wallonne
Kazakhstan	Kazakhstan
Malta	Malte
Flandria	Flandre (Belgique)
Monako	Monaco
Montenegro	Monténégro
Vatikani	Vatican
San Marino	Saint-Marin
Brussels	Région de Bruxelles-Capitale
Kuba	Cuba
Belize	Belize
Mnara wa Eiffel	Tour Eiffel
Barbados	Barbade
Volkswagen	Volkswagen
Baobonye	Clavier d'ordinateur
Indonesia	Indonésie
