ئافرىقا	Afrique
ياپونىيە	Japon
جەنۇبىي ئامېرىكا	Amérique du Sud
نورۋېگىيە	Norvège
Shotlandiye	Écosse
Wélsh	Pays de Galles
ۋېنگرىيە	Hongrie
ئىسپانىيە	Espagne
ئامېرىكا قوشما شىتاتلىرى	États-Unis
بېلگىيە	Belgique
ليۇكسېمبۇرگ	Luxembourg (pays)
يەر شارى	Terre
گېئورگى ۋاشىنگتون	George Washington
فىنلاندىيە	Finlande
شۋېتسىيە	Suède
دانىيە	Danemark
لەھىستان	Pologne
لىتۋا	Lituanie
ئىتالىيە	Italie
شۋېتسارىيە	Suisse
ئاۋستىرىيە	Autriche
گرېتسىيە	Grèce
تۈركىيە جۇمھۇرىيىتى	Turquie
پورتۇگالىيە	Portugal
ياۋروپا	Europe
ئاسىيا	Asie
شىمالىي ئامېرىكا	Amérique du Nord
ۋىكىپېدىيە	Wikipédia
گوللاندىيە	Pays-Bas
Nyu York Shehiri	New York
ۋاشىنگتون	Washington (district de Columbia)
San Fransisko	San Francisco
Bérlin	Berlin
Los Anjélés	Los Angeles
كومپيۇتېر	Ordinateur
بېرن	Berne
Jenwe	Genève
سيۇرىخ	Zurich
خەلقارالىق تور	Internet
باراك ئوباما	Barack Obama
ئۇرۇگۋاي	Uruguay
London	Londres
كايرو	Le Caire
ئالما	Pomme
پارىژ	Paris
مېكسىكا	Mexique
Kaliforniye Shitati	Californie
Boston	Boston
مارس	Mars (planète)
كېنىيە	Kenya
ئېفىئوپىيە	Éthiopie
گانا جۇمھۇرىيىتى	Ghana
شىر	Lion
فرانسىيە	France
ئېسپېرانتو	Espéranto
ئىت	Chien
بۈيۈك بېرىتانىيە	Royaume-Uni
مۈشۈك	Chat
جۇڭخۇا خەلق جۇمھۇرىيىتى	Chine
فرانسۇز تىلى	Français
برازىلىيە	Brésil
روسىيە	Russie
قارا دېڭىز	Mer Noire
مانگو	Mangue
Toronto	Toronto
Alabama Shitati	Alabama
San Pawlo	São Paulo
Kwébék	Québec
ۋىكىپېدىيە ۋەخپى	Wikimedia Foundation
جىمى ۋالىس	Jimmy Wales
گېرمانىيە	Allemagne
بېلورۇسسىيە	Biélorussie
نېمىس تىلى	Allemand
ئىسلاندىيە	Islande
ئېستونىيە	Estonie
ساتۇرن	Saturne (planète)
ئايروپىلان	Avion
جورج ۋولكېر بۇش	George W. Bush
لاتۋىيە	Lettonie
ئۇكرائىنا	Ukraine
چېخ جۇمھۇرىيەتى	République tchèque
سلوۋاكىيە	Slovaquie
سلوۋېنىيە	Slovénie
مولدوۋا	Moldavie
رۇمىنىيە	Roumanie
بۇلغارىيە	Bulgarie
Rim	Rome
ماكېدونىيە	Macédoine (pays)
ئالبانىيە	Albanie
گرېنلاندىيە	Groenland
كرودىيە	Croatie
بوسنىيە ۋە ھېرسېگوۋىنا	Bosnie-Herzégovine
ئەزەربەيجان	Azerbaïdjan
ئاندوررا	Andorre
سىپرۇس	Chypre (pays)
گرۇزىيە	Géorgie (pays)
قازاقىستان	Kazakhstan
مالتا	Malte
موناكو	Monaco
چېرنوگورىيە	Monténégro
ۋاتىكان شەھىرى	Vatican
سان مارىنو	Saint-Marin
Bryussél	Région de Bruxelles-Capitale
كۇبا	Cuba
بېلىز	Belize
باربادوس	Barbade
ئاممىباپ ئاپتوموبىل	Volkswagen
ھىندونېزىيە	Indonésie
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
بىتخوۋىن	Ludwig van Beethoven
تۈرك تىلى	Turc
جەنۇبىي ئافرىقا	Afrique du Sud
ئالجىرىيە	Algérie
ئۆزبېكىستان	Ouzbékistan
Poznan	Poznań
Tashkent	Tachkent
Warshawa	Varsovie
ياۋروۋىزىيون ناخشا مۇسابىقىسى	Concours Eurovision de la chanson
تېلېۋىزور	Télévision
ئىسلاندىيە تىلى	Islandais
چىلى	Chili
ئەيسا مەسىھ	Jésus-Christ
گالىلېي	Galilée (savant)
مېركۇرىي	Mercure (planète)
تارىخ	Histoire
ئالما شىركىتى	Apple
ۋېنېرا	Vénus (planète)
مۇھاببەت	Amour
يۇپىتېر	Jupiter (planète)
سامان يولى سىستىمېسى	Voie lactée
ئۇران (پلانىت)	Uranus (planète)
نىكولا ساركوزى	Nicolas Sarkozy
نېپتۇن	Neptune (planète)
ئاسترونومىيە	Astronomie
سىنگاپور	Singapour
پلۇتون	Pluton (planète naine)
Montréal	Montréal
لىختېنشتېين	Liechtenstein
Kambrij	Cambridge
Facebook	Facebook
بىرىنچى دۇنيا ئۇرۇشى	Première Guerre mondiale
Kolon	Cologne
سكوپليې	Skopje
Shchétsin	Szczecin
لاتىن تىلى	Latin
بەھرېيىن	Bahreïn
ئەرمېنىيە	Arménie
سېربىيە	Serbie
Istanbul	Istanbul
ئاۋستىرالىيە	Australie
فىزىكا	Physique
ئارگېنتىنا	Argentine
پېرۇ	Pérou
بىئولوگىيە	Biologie
شىمالىي چاۋشيەن	Corée du Nord
كامبوجا	Cambodge
قۇرئان كەرىم	Coran
دىنوزاۋر	Dinosaure
ئىسلام دىنى	Islam
ليۇبليانا	Ljubljana
Lion	Lyon
ياۋروپا ئىتتىپاقى	Union européenne
سوفىيە	Sofia
شېئىر	Poésie
Milan	Milan
Turin	Turin
سوڭ	Anus
ئېۋېرېست	Everest
ﻧﺎﭘﻮﻟﯧﺌﻮﻥ ﺑﻮﻧﺎﭘﺎﺭﺕ	Napoléon Ier
ۋېزۇۋىي	Vésuve
قۇياش	Soleil
قۇياش سىستېمىسى	Système solaire
ھىدروگېن	Hydrogène
گېلىي	Hélium
چىش	Dent humaine
لىتىي	Lithium
بېرىللىي	Béryllium
شەرقىي تىمور	Timor oriental
ئوسلو	Oslo
Bonn	Bonn
سېرېرا	(1) Cérès
لىسبون	Lisbonne
ئېرىدا	(136199) Éris
دۇبائى	Dubaï (émirat)
بور	Bore
Wérsayl	Versailles
كاربون	Carbone
ۋولگا دەرياسى	Volga
ئازوت	Azote
ئوكسىگېن	Oxygène
مۇزىكا	Musique
Wénitsiye	Venise
Rénn Shehiri	Rennes
Lil	Lille
Moskwa	Moscou
فىتور	Fluor
ئىتاليان تىلى	Italien
نىئون گازى	Néon
Sankt-Pétérburg	Saint-Pétersbourg
چاد	Tchad
ناترىي	Sodium
ماگنىي	Magnésium
ئاليۇمىن	Aluminium
يېڭى زېلاندىيە	Nouvelle-Zélande
ھىندىستان	Inde
سىلىتسىي	Silicium
فرانسىي	Francium
Tuwalu	Tuvalu
فوسفور	Phosphore
تۆمۈر	Fer
Ton’ga	Tonga
گۈڭگۈرت	Soufre
ساموئا	Samoa
سولومون تاقىم ئاراللىرى	Salomon (pays)
ۋانۇئاتۇ	Vanuatu
خلور گازى	Chlore
پاپۇئا يېڭى گۋىنېيە	Papouasie-Nouvelle-Guinée
پالاۋ	Palaos
ئارگون	Argon
ناۋرۇ	Nauru
مىكرونېزىيە فېدېراتسىيىسى	Micronésie (pays)
كالىي	Potassium
كالتىسىي	Calcium
قوغۇشۇن	Plomb
مارشال تاقىم ئاراللىرى	Îles Marshall
كىرىباتى	Kiribati
موڭغۇلىيە	Mongolie
فىجى	Fidji
سكاندىي	Scandium
تىتان	Titane
ۋېنېسۇئېلا	Venezuela
چىڭگىزخان	Gengis Khan
ۋانادىي	Vanadium
Méané Shitati	Maine (État)
خروم	Chrome
ئات	Cheval
ئامستېردام	Amsterdam
ھايۋانات	Animal
سۇرىنام	Suriname
مانگان	Manganèse
پاراگۋاي	Paraguay
گايانا	Guyana
ئېكۋادور	Équateur (pays)
رېنىي	Rhénium
كولومبىيە	Colombie
كوبالت	Cobalt
ۋولفرام	Tungstène
نىكېل	Nickel
بۇددا دىنى	Bouddhisme
بولىۋىيە	Bolivie
مىس	Cuivre
ترىنىداد ۋە توباگو	Trinité-et-Tobago
سېنت ۋىنسېنت ۋە گرېنادىن ئاراللىرى	Saint-Vincent-et-les-Grenadines
سىنك	Zinc
Yéngi Xampishir Shitati	New Hampshire
سېنت ليۇسىيە	Sainte-Lucie
داۋېىنچى	Léonard de Vinci
سېنت كىتس ۋە نېۋىس	Saint-Christophe-et-Niévès
زەمبۇرۇغ	Fungi
يامايكا	Jamaïque
گرېنادا	Grenade (pays)
Massachuséts Shitati	Massachusetts
گۋاتېمالا	Guatemala
باھاما	Bahamas
Konnéktikat Shitati	Connecticut
ئانتىگۇئا ۋە باربۇدا	Antigua-et-Barbuda
Haway Shitati	Hawaï
ھوندۇراس	Honduras
دومىنىكا	Dominique (pays)
دومىنىكان جۇمھۇرىيەتى	République dominicaine
ھايتى	Haïti
ئەل سالۋادور	Salvador
ئىران	Iran
ئىراق	Irak
Alyaska Shitati	Alaska
كوستارىكا	Costa Rica
ئىسرائىلىيە	Israël
پاناما	Panama
يەمەن	Yémen
پولەك تىلى	Polonais
ئىئوردانىيە	Jordanie
نىكاراگۇئا	Nicaragua
Florida Shitati	Floride
قىرغىزىستان	Kirghizistan
Arizona Shitati	Arizona
كۇۋەيت	Koweït
لائوس	Laos
لىۋان	Liban
Orégon Shitati	Oregon
مالدىۋ ئاراللىرى	Maldives
ئامېرىكا قىتئەسى	Amérique
Yuta Shitati	Utah
مالايسىيا	Malaisie
بىرما	Birmanie
نېپال	Népal
ئومان	Oman
پاكىستان	Pakistan
قاتار	Qatar
سەئۇدى ئەرەبىستان	Arabie saoudite
سرىلانكا	Sri Lanka
ستالىن	Joseph Staline
سۇرىيە	Syrie
بىراتۇ	Platon
گاللىي	Gallium
تاجىكىستان	Tadjikistan
تەيۋەن	Taïwan
گېرمانىي	Germanium
تايلاند	Thaïlande
ئارسېن	Arsenic
تۈركمەنىستان	Turkménistan
سېلېن	Sélénium
ئەرەب بىرلەشمە خەلىپىلىكى	Émirats arabes unis
بروم	Brome
Platina	Platine
ۋيېتنام	Viêt Nam
Nowosibirski	Novossibirsk
جەنۇبىي چاۋشيەن	Corée du Sud
كرىپتون	Krypton
ئافغانىستان	Afghanistan
