אפריקע	Afrique
יאפאן	Japon
דרום אמעריקע	Amérique du Sud
נארוועגיע	Norvège
ענגלאנד	Angleterre
סקאטלאנד	Écosse
וויילס	Pays de Galles
צפון אירלאנד	Irlande du Nord
אירלאנד	Irlande (pays)
אונגארן	Hongrie
שפאניע	Espagne
פאראייניקטע שטאטן פון אמעריקע	États-Unis
בעלגיע	Belgique
לוקסעמבורג	Luxembourg (pays)
אוניווערס	Univers
ערד-פלאנעט	Terre
לעבן	Vie
טויט	Mort
מענטש	Homo sapiens
פרייד	Bonheur
דזשארזש וואשינגטאן	George Washington
טים בערנערס-לי	Tim Berners-Lee
סטענלי קובריק	Stanley Kubrick
פינלאנד	Finlande
שוועדן	Suède
דענמארק	Danemark
פוילן	Pologne
ליטע	Lituanie
איטאליע	Italie
שווייץ	Suisse
עסטרייך	Autriche
גריכנלאנד	Grèce
טערקיי	Turquie
ביר	Bière
פארטוגאל	Portugal
אייראפע	Europe
אזיע	Asie
צפון אמעריקע	Amérique du Nord
אנטארקטיקע	Antarctique
וויקיפעדיע	Wikipédia
האלאנד	Pays-Bas
פעניס	Pénis
PHP	PHP
ניו יארק (שטאט)	New York
וואשינגטאן די סי	Washington (district de Columbia)
סאן פראנציסקא	San Francisco
בערלין	Berlin
לאס אנדזשעלעס	Los Angeles
באואינג	Boeing
ערבוס	Airbus
קאמפיוטער	Ordinateur
בערן	Berne
גענף	Genève
ציריך	Zurich
אינטערנעץ	Internet
באראק אבאמא	Barack Obama
אורוגוויי	Uruguay
באזעל	Bâle
דרוקער	Imprimante
מעדיעוויקי	MediaWiki
לאנדאן	Londres
קיירא	Le Caire
קאפוויי	Céphalée
אלעקסאנדריע	Alexandrie
עפל	Pomme
פאריז	Paris
אברהם לינקאלן	Abraham Lincoln
גוגל	Google
מעקסיקא	Mexique
אטלאנטישער אקעאן	Océan Atlantique
פאציפישער אקעאן	Océan Pacifique
קאליפארניע	Californie
באסטאן	Boston
מאנטיק	Lundi
געשפרייט	Espace (notion)
יאנואר	Janvier
פעברואר	Février
מערץ	Mars (mois)
מאדים	Mars (planète)
קעניע	Kenya
עטיאפיע	Éthiopie
מאנארך	Monarque
גהאנע	Ghana
אפריל	Avril
מיי	Mai
יוני	Juin
יולי	Juillet
