Áfríkà	Afrique
Japan	Japon
Gúúsù Amẹ́ríkà	Amérique du Sud
Nọ́rwèy	Norvège
Ilẹ̀gẹ̀ẹ́sì	Angleterre
Skọ́tlándì	Écosse
Wélsì	Pays de Galles
Írẹ́lándì Apáàríwá	Irlande du Nord
Írẹ́lándì	Irlande (pays)
Húngárì	Hongrie
Spéìn	Espagne
Àwọn Ìpínlẹ̀ Aṣọ̀kan Amẹ́ríkà	États-Unis
Bẹ́ljíọ̀m	Belgique
Lúksẹ́mbọ̀rg	Luxembourg (pays)
Ayé	Terre
Ọmọnìyàn	Homo sapiens
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Fínlándì	Finlande
Swídìn	Suède
Dẹ́nmárkì	Danemark
Pólàndì	Pologne
Lituéníà	Lituanie
Itálíà	Italie
Swítsàlandì	Suisse
Austríà	Autriche
Gríìsì	Grèce
Túrkì	Turquie
Pọ́rtúgàl	Portugal
Europe	Europe
Ásíà	Asie
Àríwá Amẹ́ríkà	Amérique du Nord
Antárktìkà	Antarctique
Wikipedia	Wikipédia
Nẹ́dálándì	Pays-Bas
New York	New York
Washington, D.C.	Washington (district de Columbia)
San Francisco	San Francisco
Berlin	Berlin
Los Angeles	Los Angeles
Kọ̀mpútà	Ordinateur
Berne	Berne
Geneva	Genève
Zürich	Zurich
Internet Relay Chat	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Urugúáì	Uruguay
MediaWiki	MediaWiki
Lọndọnu	Londres
Káírò	Le Caire
Parisi	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Mẹ́ksíkò	Mexique
Òkun Atlántíkì	Océan Atlantique
Òkun Pàsífíkì	Océan Pacifique
Kalifọ́rníà	Californie
Boston	Boston
Ọjọ́ Ajé	Lundi
Oṣù Kínní	Janvier
Oṣù Kejì	Février
Oṣù Kẹta	Mars (mois)
Mársì	Mars (planète)
Kẹ́nyà	Kenya
Ethiópíà	Éthiopie
Ghánà	Ghana
Oṣù Kẹrin	Avril
Oṣù Kàrún	Mai
Oṣù Kẹfà	Juin
Oṣù Keje	Juillet
Oṣù Kẹjọ	Août
Oṣù Kẹ̀sán	Septembre
Oṣù Kẹ̀wá	Octobre
Oṣù Kọkànlá	Novembre
Oṣù Kejìlá	Décembre
Ọjọ́ Ìsẹ́gun	Mardi
Ọjọ́rú	Mercredi
Ọjọ́bọ̀	Jeudi
Ọjọ́ Ẹtì	Vendredi
Ọjọ́ Àbámẹ́ta	Samedi
Ọjọ́ Àìkú	Dimanche
Kìnìún	Lion
Fránsì	France
Èdè Esperanto	Espéranto
Ajá	Chien
Ilẹ̀ọba Aṣọ̀kan	Royaume-Uni
Ológbò	Chat
Orílẹ̀-èdè Olómìnira àwọn Ará ilẹ̀ Ṣáínà	Chine
Èdè Faransé	Français
Brasil	Brésil
Ọtí	Alcool (chimie)
François Hollande	François Hollande
Rọ́síà	Russie
Alọ́poméjì	Carré
Òkun Dúdú	Mer Noire
Pi	Pi
Wiki	Wiki
Toronto	Toronto
Ìpínlẹ̀ Alabama	Alabama
São Paulo	São Paulo
Sao Paulo (ìpínlẹ̀)	État de São Paulo
Wikimedia	Wikimedia Foundation
Jẹ́mánì	Allemagne
Bẹ̀lárùs	Biélorussie
Il Canto degli Italiani	Fratelli d’Italia
Èdè Jẹ́mánì	Allemand
Íslándì	Islande
Ọlọ́run	Dieu
Estóníà	Estonie
David Cameron	David Cameron
Sátúrnù	Saturne (planète)
Ọkọ̀ òfurufú	Avion
Ogun	Guerre
1 (nọ́mbà)	1 (nombre)
2 (nọ́mbà)	2 (nombre)
3 (nọ́mbà)	3 (nombre)
4 (nọ́mbà)	4 (nombre)
5 (nọ́mbà)	5 (nombre)
0 (nọ́mbà)	Zéro
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Látfíà	Lettonie
Ukréìn	Ukraine
Tsẹ́kì Olómìnira	République tchèque
Slofákíà	Slovaquie
Sloféníà	Slovénie
Filnius	Vilnius
Móldófà	Moldavie
Románíà	Roumanie
Bùlgáríà	Bulgarie
Rómù	Rome
Orílẹ̀-èdè Olómìnira ilẹ̀ Makẹdóníà	Macédoine (pays)
Albáníà	Albanie
Grínlándì	Groenland
Kroatíà	Croatie
Bósníà àti Hẹrjẹgòfínà	Bosnie-Herzégovine
Nuuk	Nuuk
Azerbaijan	Azerbaïdjan
Àndórà	Andorre
Kíprù	Chypre (pays)
Georgia	Géorgie (pays)
Kàsàkstán	Kazakhstan
Máltà	Malte
Mónakò	Monaco
Montenẹ́grò	Monténégro
Ìlú Fatikan	Vatican
San Màrínò	Saint-Marin
Kúbà	Cuba
Bẹ̀lísè	Belize
Bárbádọ̀s	Barbade
Indonésíà	Indonésie
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Èdè Túrkì	Turc
Gúúsù Áfríkà	Afrique du Sud
Àlgéríà	Algérie
Wikisource	Wikisource
Ùsbẹ̀kìstán	Ouzbékistan
Tashkent	Tachkent
Warsaw	Varsovie
Omi	Eau
Tẹlifísàn	Télévision
Claude Monet	Claude Monet
Diego Velázquez	Diego Vélasquez
Tsílè	Chili
Jésù	Jésus-Christ
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galilée (savant)
Mẹ́rkúríù (plánẹ̀tì)	Mercure (planète)
Ìtàn	Histoire
Apple Inc.	Apple
Àgùàlà	Vénus (planète)
Èdè	Langage
Júpítérì	Jupiter (planète)
Michelle Bachelet	Michelle Bachelet
Úránù	Uranus (planète)
Eduardo Frei Ruiz-Tagle	Eduardo Frei Ruiz-Tagle
Nicolas Sarkozy	Nicolas Sarkozy
Ricardo Lagos	Ricardo Lagos
Nẹ́ptúnù	Neptune (planète)
Ìtòràwọ̀	Astronomie
Singapore	Singapour
Patricio Aylwin	Patricio Aylwin
Sáyẹ́nsì	Science
Plùtò	Pluton (planète naine)
Màríà (ìyá Jésù)	Marie (mère de Jésus)
Louis 9k ilẹ̀ Fránsì	Louis IX
Líktẹ́nstáìnì	Liechtenstein
Adolf Hitler	Adolf Hitler
Ogun Àgbáyé Kìíní	Première Guerre mondiale
Ogun Àgbáyé Ẹlẹ́ẹ̀kejì	Seconde Guerre mondiale
Ìwàìbàjẹ́	Corruption
Augusto Pinochet	Augusto Pinochet
Skopje	Skopje
Bob Dylan	Bob Dylan
Mathimátíkì	Mathématiques
Èdè Látìnì	Latin
Báháráìnì	Bahreïn
Arméníà	Arménie
Bósónì Higgs	Boson de Higgs
Sérbíà	Serbie
Òṣùpá	Lune
Istanbul	Istanbul
Austrálíà	Australie
Bob Marley	Bob Marley
Físíksì	Physique
Argẹntínà	Argentine
Ìbánisọ̀rọ̀-ọ̀ọ́kán	Télécommunications
Perú	Pérou
Kòréà Àríwá	Corée du Nord
Kàmbódíà	Cambodge
Kùránì	Coran
Ìmàle	Islam
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Lech Wałęsa	Lech Wałęsa
Ìṣọ̀kan Europe	Union européenne
Obìnrin	Femme
Sofia	Sofia
Eduardo Frei Montalva	Eduardo Frei Montalva
