Nditbonj	Japon
Nozveih	Norvège
Aiwjlanz Gunghozgoz	Irlande (pays)
Sihbanhyaz	Espagne
Meijgoz	États-Unis
Giuznamh	Terre
Vunz	Homo sapiens
Tim Berners-Lee	Tim Berners-Lee
Finlan	Finlande
Nyeiqswq	Suisse
Dujwjgiz	Turquie
Yacouh	Asie
Namzgigcouh	Antarctique
Veizgiek Bakgoh	Wikipédia
Niujyoz	New York
Vazcingdonq	Washington (district de Columbia)
Dennauj	Ordinateur
Bahliz	Paris
Linzgenj	Abraham Lincoln
Fazgoz	France
Esperanto	Espéranto
Yinghgoz	Royaume-Uni
Cunghvaz Yinzminz Gunghozgoz	Chine
Vah Fazgoz	Français
Duzbya	Poisson
Bahsih	Brésil
Ezlozswh	Russie
Ginghyiz	Cetacea
Haijhaek	Mer Noire
São Paulo	São Paulo
Dwzgoz	Allemagne
Vah Dwzgoz	Allemand
Feihgih	Avion
It	1 (nombre)
Ngeih	2 (nombre)
Sam	3 (nombre)
Seiq	4 (nombre)
Haj	5 (nombre)
Lingz	Zéro
Gwzlozdiya	Croatie
Ahsehbaiqgyangh	Azerbaïdjan
Hahsazgwswhdanj	Kazakhstan
Gujbah	Cuba
Yindunizsihya	Indonésie
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Raemx	Eau
Chile	Chili
Yesu	Jésus-Christ
Ndaundeiqhaemh	Vénus (planète)
Ciencwng	Dictature
Ndaundeiqfaex	Jupiter (planète)
Dahmbwn	Voie lactée
Gohyoz	Science
Soqyoz	Mathématiques
Ronghndwen	Lune
Audaihleihya	Australie
Hoengjlungz	Dinosaure
Lech Wałęsa	Lech Wałęsa
Simlingz	Esprit
Sei	Poésie
Louis Pasteur	Louis Pasteur
Doeng Divwnq	Timor oriental
Hwzdung	Trou noir
Yangj	Oxygène
Yinhyoz	Musique
Moscow	Moscou
Saen Saelanz	Nouvelle-Zélande
Yindu	Inde
Diet	Fer
William Shakespeare	William Shakespeare
Gyaz	Potassium
Mungzguj	Mongolie
Doengz	Cuivre
Doenghgo	Plante
Gwzlinznazdaz	Grenade (pays)
Massachusetts	Massachusetts
Mou	Porc
Iran	Iran
Lao	Laos
Majlaizsihya	Malaisie
Mienjdien	Birmanie
Joseph Stalin	Joseph Staline
Cunghvaz Minzgoz	Taïwan
Daigoz	Thaïlande
Hojceh	Train
Yiednamz	Viêt Nam
Hanzgoz	Corée du Sud
Gim	Or
Feihlizbinh	Philippines
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Baekging	Pékin
Ganggoj Minzcuj Gunghozgoz	République démocratique du Congo
Moq Dwzlij	New Delhi
