IAfrika	Afrique
IJapani	Japon
IMelika Eningizimu	Amérique du Sud
INoki	Norvège
INgilandi	Angleterre
IsiKotilandi	Écosse
IWelisi	Pays de Galles
I-Ayilendi	Irlande (pays)
ISpeyini	Espagne
IMelika	États-Unis
IFinlandi	Finlande
ISwidi	Suède
IDenimaki	Danemark
IPolandi	Pologne
ILithuwaniya	Lituanie
ITaliya	Italie
I-Ostriya	Autriche
IGreki	Grèce
ITheki	Turquie
IPhothugali	Portugal
IYurobhu	Europe
I-Eshiya	Asie
IMelika Enyakatho	Amérique du Nord
I-Antatika	Antarctique
Wikipedia	Wikipédia
Netherlands	Pays-Bas
New York (idolobha)	New York
IBerlini	Berlin
Ikhompiyutha	Ordinateur
Barack Obama	Barack Obama
ILondon	Londres
Ihhabhula	Pomme
IParisi	Paris
IMekisiko	Mexique
California	Californie
IKenya	Kenya
I-Ithiopia	Éthiopie
IGana	Ghana
Ibhubesi	Lion
IFulansi	France
Isi-Esperanto	Espéranto
Inja	Chien
Umbuso Ohlangeneyo	Royaume-Uni
Ikati	Chat
IShayina	Chine
IsiFulentshi	Français
IBrazili	Brésil
IRashiya	Russie
Ulwandle	Mer
IJalimani	Allemagne
IBelarusi	Biélorussie
IsiJalimani	Allemand
I-Ayisilandi	Islande
UNkulunkulu	Dieu
I-Estoniya	Estonie
David Cameron	David Cameron
USatureni	Saturne (planète)
George W. Bush	George W. Bush
ILatviya	Lettonie
ITsheki	République tchèque
ISlovaki	Slovaquie
IVilnyusi	Vilnius
IBulgariya	Bulgarie
Azerbaijan	Azerbaïdjan
IMalta	Malte
Indolobha yaseVathikhani	Vatican
USanti Marino	Saint-Marin
Belize	Belize
Volkswagen	Volkswagen
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
IRiphabliki yaseNingizimu Afrika	Afrique du Sud
IAljiriya	Algérie
IWarshawa	Varsovie
Amanzi	Eau
Isi-Icelandic	Islandais
ITshile	Chili
Apple	Apple
UVenusi	Vénus (planète)
U-Uranu	Uranus (planète)
UNepetuni	Neptune (planète)
